node_id,H_m,VEI,Wc,Wb,face_id,hwc,hwb
n00175,18.95856,0.6851771654717774,13.991646097392097,14.138608371869616,f7,1.3549913904364466,1.3409070752479593
n00176,38.325552,0.8187905065555554,42.93002905215498,43.168846193975796,f9,0.892744608987777,0.8878057992976501
n00177,19.274028,0.863745770084756,14.415348988097259,14.552833351204011,f7,1.3370490035249614,1.3244175573827612
n00178,38.325552,0.840637354026148,43.19831216644968,44.05644067773582,f9,0.887200218664234,0.8699193900012
n00179,19.5072,0.8741991659703148,12.642585323087076,13.391382700959554,f7,1.5429755466531998,1.456697970300126
n00180,38.325552,0.844557217690739,43.54308552453378,44.14118579466616,f9,0.8801753834924255,0.8682492622260073
n00181,57.354216,0.7951324751978623,60.683019564306,55.29405414666181,f7,0.9451443980835783,1.037258289071621
n00182,46.46980800000001,0.8171186622104777,66.22746960161784,69.3519412224496,f9,0.7016696890207748,0.670057783255784
n00183,68.141088,0.7943334934958132,21.67213599388369,22.253683526556014,f7,3.1441796055188456,3.0620138872149014
n00184,50.081688,0.8519983865689021,43.13670654978441,43.616160375365816,f9,1.1609993438465298,1.1482369738416012
n00185,53.899308,0.8871438191940201,21.664407159973127,21.16868929052562,f7,2.4879198217610887,2.5461806945280965
n00186,50.081688,0.8749916030497279,43.84162887463263,44.329661831260445,f9,1.1423318267487537,1.1297556970011293
n00187,28.870656,0.913739460602902,14.498552864359505,14.461253415458316,f7,1.9912784586225947,1.9964144995300888
n00189,53.899308,0.8756233301230881,,,f7,,
n00190,80.93354400000001,0.8638181004356722,66.25979782211006,71.5989633772936,f9,1.2214577565914864,1.130373125285592
n00191,28.870656,0.9538651804674251,12.881861835132781,13.531643308038944,f7,2.241186590067352,2.133566141434454
n00192,126.650496,0.9023507712505554,43.339929396949174,51.07092453290906,f9,2.9222589367881,2.479894326533858
n00193,52.7304,0.9624724074098878,13.220154449418569,13.3368081726063,f7,3.9886372131090435,3.953749601670648
n00194,126.650496,0.9104727244806863,44.10334317665125,49.46915032361245,f9,2.871675634491356,2.5601914561194232
n00195,49.997868000000004,0.9706818483516236,12.91882826613961,12.516811403855895,f7,3.870155014835592,3.994457245285153
n00196,145.173192,0.9317003598349568,43.08653336634947,43.845454738783346,f9,3.3693402707905036,3.3110203295847573
n00197,49.997868000000004,0.9126494752893026,72.59850955518118,71.60464681412464,f7,0.688690006259664,0.6982489297068566
n00198,89.42832,0.5824531313236516,,,f6,,
n00199,89.42832,0.589153988486017,,,f6,,
n00200,89.42832,0.5655319375816512,,,f6,,
n00201,83.838288,0.556393507136727,,,f6,,
n00203,83.838288,0.5970606473514958,108.53656017760736,111.24491536662865,f6,0.7724428327450997,0.7536370334203149
n00205,78.24825600000001,0.599776775909549,103.3154751025862,105.53060922018952,f6,0.757372077341793,0.7414745027836909
n00207,78.24825600000001,0.5008819706193229,106.60910142585588,108.03130391978476,f6,0.733973506515481,0.7243109465576828
n00209,89.269331423388,0.7931910626566513,,64.51982855563995,f11,,1.3835952980935904
n00210,69.036830900916,0.8142993858819014,,56.7146488762248,f11,,1.217266301896418
n00211,49.961292,0.8580960322358702,42.83482885365,43.2474403201075,f11,1.1663707626963646,1.1552427526391882
n00212,49.554384000000006,0.8707356472182853,42.98179874659295,43.40784155583888,f11,1.152915546698195,1.1415998175411315
n00213,50.3682,0.8063874802206225,43.12791285711833,43.343653116358944,f11,1.167879377025931,1.1620663321751674
n00214,49.554384000000006,0.8232509519084487,62.12769498592478,68.26612609625812,f11,0.797621479619141,0.7259000449231033
n00215,63.573830235372,0.8794999640471359,42.77359747548824,44.11732968498687,f11,1.4862867279705316,1.4410171850678937
n00216,64.663660470744,0.8464967935277505,44.74618449739663,45.21528842664334,f11,1.4451212141787462,1.4301282314200745
n00217,62.484,0.8038705869133725,43.35435031785615,43.81896424042621,f11,1.4412394498335963,1.4259579404287681
n00218,55.65915482574,0.8147376801908103,74.959779435282,65.17351356169269,f11,0.742520258798179,0.8540149484660441
n00219,55.241952000000005,0.8636183777414388,42.46519099007719,42.87591198220058,f11,1.3008760990362283,1.2884146236453942
n00220,55.241952000000005,0.8662106267875402,42.77676446513012,43.19507185388602,f11,1.2914008969759974,1.2788947819525434
n00221,49.3395,0.8089291625287853,42.91868379168191,43.30866549431572,f11,1.1496042199123198,1.1392523744809415
n00222,46.357032000000004,0.7583422683371867,42.41704313087709,43.536329047988716,f11,1.0928869288923828,1.0647896369237313
n00223,38.325552,0.8056327283996277,42.92884151544733,43.357127289444485,f11,0.892769304902139,0.8839504458896785
n00224,38.325552,0.8316999626623571,43.53927955927988,43.9641235388788,f11,0.8802523236016974,0.8717460719103739
n00225,38.325552,0.8176950586194969,44.40274882783115,44.64280175931368,f11,0.8631346709773512,0.8584934298395435
n00226,50.081688,0.7843971447146433,42.811067604384064,43.7620868756984,f11,1.1698303920566417,1.1444081298556845
n00227,50.081688,0.8519983865689021,43.51739871960167,43.73280486991979,f11,1.1508428691405572,1.1451743868010416
n00228,51.032664000000004,0.8749916030497279,43.17655058378715,44.420985232773916,f11,1.1819532433691644,1.1488413355214817
n00229,64.61760000000001,0.853759241258418,88.62636834025243,44.679246588500376,f11,0.7291012958121168,1.4462553631473143
n00230,97.249488,0.8650692457735244,43.318347679386406,43.83891596476943,f11,2.2449953243779293,2.2183369697862347
n00231,126.650496,0.9023507712505554,50.42310662994945,50.897578125982704,f11,2.5117551151593327,2.488340323119347
n00232,126.650496,0.9104727244806863,43.165443072556556,46.227085336271685,f11,2.934071492955925,2.7397465161106487
n00233,145.173192,0.8892249693585603,74.86185710425876,76.75590477058259,f11,1.9392144092527641,1.8913618754662764
n00234,145.173192,0.9115001114402579,81.32614666736737,90.93681985966205,f11,1.7850740253780113,1.5964181749926822
n00236,168.696132,0.9017759926033986,67.07638554140877,69.76177835690062,f11,2.5149854250249897,2.41817419184689
n00238,168.696132,0.9036305612055116,43.946221191266204,49.06046027557045,f11,3.8386948280669553,3.438535453039805
n00240,123.559824,0.8833149801134619,76.59707739300818,87.62150069134486,f11,1.6131140796147219,1.410154163362841
n00241,109.441488,0.9469095892536378,72.7880876318692,92.78373964935611,f11,1.5035631730497978,1.1795330562617552
n00242,45.84192,0.9251055441511155,49.64093399183788,49.676150979178686,f12,0.9234701346984622,0.9228154576471561
n00243,45.84192,0.9745055366795008,47.41812673562203,48.45177893056562,f12,0.9667594052289304,0.9461349203647259
n00244,45.84192,0.9437268298579743,47.82185946516303,49.43229403902649,f12,0.9585976060465536,0.9273678450732651
n00245,45.84192,0.9762455710901533,68.39576056177854,78.62290989505954,f12,0.6702450506211308,0.5830605870628123
n00250,17.319570016620002,0.8234492267688703,46.04248733904347,67.36217588978704,f13,0.3761649514954249,0.25711120206326155
n00251,30.522672,0.8178729293622234,,24.101641397707745,f14,,1.2664146601609858
n00252,20.04822,0.9274805729672497,14.791539046967813,14.891082368742943,f14,1.355384313717495,1.3463238939623439
n00253,17.849088000000002,0.9496733314006058,14.372667556520511,16.140038288673658,f14,1.241877190146399,1.1058888263310798
n00254,14.673072000000001,0.9418574545991935,14.080705623652818,14.707999066477724,f14,1.0420693672731942,0.9976253012853851
n00255,14.673072000000001,0.877828112447445,92.02403427539548,18.830475231384835,f14,0.15944825844179653,0.7792194206306768
n00256,19.05762,0.903588095342027,18.606699109111013,18.766706174149157,f14,1.024234330240133,1.0155015921894472
n00257,19.05762,0.8877534900103079,23.115891258280968,22.66365340349112,f14,0.8244380364599982,0.8408891391298966
n00258,19.821144,0.8703325652558277,23.35628936201254,42.0663919147981,f14,0.8486426800413673,0.4711871662334635
n00259,19.821144,0.9091013121701411,63.595556546345655,14.633889602174417,f14,0.3116749829141792,1.35446860259591
n00260,88.503252,0.9457859203411518,14.003146336238956,14.136660224877206,f14,6.320240457029367,6.260548856104998
n00261,88.503252,0.9499754262580132,14.04084881814066,14.173118023193704,f14,6.303269349760004,6.244444719585924
n00262,133.894068,0.9255622249127831,14.078292209814911,14.537435342451179,f14,9.510675443052216,9.210294996739357
n00263,133.894068,0.9463748601763798,16.624531527069898,14.663997569353768,f14,8.054005478709515,9.130802659148328
n00264,133.894068,0.9778396600236345,13.828152666562708,13.95315434522378,f14,9.682715488364819,9.595971254043533
