their_id,our_id,gap_m,status,their_pano,their_date,our_pano,our_date,same
2nd_avenue_039,n00064,6.839578364600257,OK,UB_SUEJd7Pnjk-eCcPgsqw,2026-04,zX7pkZxowUCkRwZZ0GBqaw,2026-04,False
2nd_avenue_040,n00065,6.7016569920795614,OK,Zc8h5Pe286fBE41JKTGvnw,2026-04,CJPF6dR9rqWQicakS26sEw,2026-04,False
2nd_avenue_041,n00066,6.742480006198922,OK,fKjZXKYCSzwSdxYr07GU4w,2026-04,fKjZXKYCSzwSdxYr07GU4w,2026-04,True
2nd_avenue_042,n00067,6.701650276347309,OK,dApUMUTGGwaYzW7_t8jB9g,2026-04,dApUMUTGGwaYzW7_t8jB9g,2026-04,True
2nd_avenue_043,n00068,6.563795049730462,OK,7vcZV02P3a7LEog8fTHw5g,2026-04,7vcZV02P3a7LEog8fTHw5g,2026-04,True
2nd_avenue_044,n00069,6.466371418285483,OK,Y4IGkaDOkxrHskcVK8afsg,2026-04,Y4IGkaDOkxrHskcVK8afsg,2026-04,True
2nd_avenue_045,n00070,6.466368113076023,OK,RTXH8P9QVgiOdtWzayxu7A,2026-04,NmzFmsHjQOKo9PC4Bboofg,2026-04,False
2nd_avenue_046,n00071,6.369389170533952,OK,_vqbJVhC3pk-i1SOtfHSQQ,2026-04,GpkQvkUs4UNoxhu6eP6fBg,2026-04,False
2nd_avenue_047,n00072,6.328406435904194,OK,X3mb0hGnGDoKJWnmp3mO2A,2026-04,MM0qtzN6nSAc8YwU2gSw6A,2026-04,False
2nd_avenue_048,n00073,6.288290586694621,OK,8c8zvpHziPnCJRBs2YlodQ,2026-04,KbuWA4GZkLpI0t9kB0869w,2026-04,False
2nd_avenue_049,n00074,6.231255114524692,OK,rXwZ421_XNjkQ51qCYUMnQ,2026-04,OliAiaLn8bm1lGeT4bXuGg,2026-04,False
2nd_avenue_050,n00075,6.038396452179066,OK,GbRisdEAIcVddIqJhdIL1g,2026-04,CwJueWQ6lVqwdMicP4meEg,2026-04,False
2nd_avenue_051,n00076,5.996341324263808,OK,Kc_F6NvhdIO7Wp4yE6K5qw,2026-04,zYrXx1gRYxArSxe5AXfrXg,2026-04,False
2nd_avenue_052,n00077,5.996338148034281,OK,laBJSJKjDXQAUF8Xsr_EPg,2026-04,laBJSJKjDXQAUF8Xsr_EPg,2026-04,True
2nd_avenue_053,n00078,5.899989122634334,OK,2ZEhBd_jQ8-9ee6Y9E_-oA,2026-04,2ZEhBd_jQ8-9ee6Y9E_-oA,2026-04,True
2nd_avenue_054,n00079,5.858157911669848,OK,Iur9Kh4W8fims5RMYmCXBA,2026-04,Iur9Kh4W8fims5RMYmCXBA,2026-04,True
2nd_avenue_055,n00079,14.272339444346153,OK,lUsW-5bPbpflwhBEDMUpmQ,2026-04,Iur9Kh4W8fims5RMYmCXBA,2026-04,False
3rd_avenue_027,n00080,0.5112210122872243,OK,JRfca0prQB4nWzxEy4qpaA,2026-04,JRfca0prQB4nWzxEy4qpaA,2026-04,True
3rd_avenue_028,n00081,0.6101353286704789,OK,6_7H4KCQWq3DszNdqDrYXg,2026-04,6_7H4KCQWq3DszNdqDrYXg,2026-04,True
