node_id,view,GVI_base,GVI_new,dGVI,VEI_base,VEI_new,dVEI
n00395,N_uptown,6.0860740488765375,6.08927678929684,0.0032027404203027743,0.9409489313873739,0.9409477392651463,-1.192122227600123e-06
n00395,E_east,3.0958734468458546,3.096640032093198,0.0007665852473435208,0.9411202173174337,0.9411192770410783,-9.402763553323368e-07
n00395,S_downtown,0.7327695520731907,0.7326089538436674,-0.00016059822952330105,0.908301970545135,0.9083022102464845,2.397013495469835e-07
n00395,W_west,3.7229701541038733,3.7252457110473083,0.002275556943434953,0.9054171355277812,0.9054171209216613,-1.4606119980165033e-08
n00395,full360,3.4094218004748633,3.410942871570254,0.0015210710953907913,0.924140137450316,0.924139496594873,-6.408554429349067e-07
n00424,N_uptown,0.12613700963132565,0.12613700963132565,0.0,0.9528394505609742,0.952837514135172,-1.9364258021514758e-06
n00424,E_east,0.12613700963132563,0.12613700963132563,0.0,0.888172952844174,0.888167898453495,-5.054390678993492e-06
n00424,S_downtown,0.08546242154565141,0.0854624215456514,-1.3877787807814457e-17,0.9030317625819827,0.9030319794336396,2.168516568534784e-07
n00424,W_west,0.08546242154565142,0.08546242154565141,-1.3877787807814457e-17,0.9602855080366048,0.9602857231662522,2.151296473185127e-07
n00424,full360,0.10579971558848855,0.10579971558848852,-2.7755575615628914e-17,0.9265844190269065,0.9265830801495342,-1.3388773723033154e-06
n00451,N_uptown,0.3951310582356685,0.395166353308985,3.529507331645476e-05,0.9383445162387531,0.9383439363854678,-5.798532853873439e-07
n00451,E_east,1.7932963051549056,1.793331600228222,3.529507331645476e-05,0.9272617314636687,0.9272614976551843,-2.338084844621946e-07
n00451,S_downtown,1.475768212451643,1.4757682124516427,-2.220446049250313e-16,0.9506224231704106,0.9506223004522494,-1.2271816118847312e-07
n00451,W_west,0.07760296553240584,0.07760296553240584,0.0,0.9612305148206184,0.9612301819873685,-3.3283324984978435e-07
n00451,full360,0.9354496353436558,0.935467282880314,1.764753665822738e-05,0.9444943226817206,0.9444939930397074,-3.2964201324148235e-07
n00550,N_uptown,0.0,0.0,0.0,0.9457702548106101,0.9457703771795766,1.2236896651529605e-07
n00550,E_east,0.039543757226411624,0.039543757226411624,0.0,0.936381500533111,0.9363817990688537,2.985357426821267e-07
n00550,S_downtown,0.24727663727726965,0.24727663727726953,-1.1102230246251565e-16,0.9324641234539314,0.9324642187941162,9.53401848580171e-08
n00550,W_west,0.207732880050858,0.20773288005085797,-2.7755575615628914e-17,0.9418834497596573,0.941883397295112,-5.2464545374775184e-08
n00550,full360,0.1236383186386348,0.12363831863863481,1.3877787807814457e-17,0.9391878828591554,0.9391879946672627,1.118081072171151e-07
n00563,N_uptown,23.61801342563867,23.617946443205863,-6.69824328056734e-05,0.938552503082467,0.9385390642332526,-1.3438849214342241e-05
n00563,E_east,4.502395040833705,4.502279307677469,-0.00011573315623625291,0.9251345565286988,0.9251270440197876,-7.512508911178273e-06
n00563,S_downtown,30.663204601293153,30.663350470223076,0.0001458689299234095,0.8710772581346867,0.8710754520381051,-1.8060965816246721e-06
n00563,W_west,49.77882298609811,49.77901760575148,0.00019461965336375897,0.8619288462361332,0.8619185777974808,-1.0268438652372147e-05
n00563,full360,27.140609013465912,27.140648456714477,3.944324856419712e-05,0.9079887041290022,0.9079806916925328,-8.01243646941785e-06
n00588,N_uptown,22.68160961051641,22.682060295862513,0.0004506853461023752,0.8581011582924957,0.8580893431871959,-1.1815105299795015e-05
n00588,E_east,41.190228150874496,41.1901443174054,-8.383346909823786e-05,0.6754743373526064,0.6754564763527756,-1.786099983080991e-05
n00588,S_downtown,23.18083290648779,23.179628461502784,-0.001204444985006603,0.8614546282995498,0.8614526672279625,-1.9610715872309115e-06
n00588,W_west,4.672214366129696,4.6715444399598915,-0.0006699261698042136,0.9334607894041325,0.9334603026922802,-4.867118522655645e-07
n00588,full360,22.9312212585021,22.930844378682654,-0.0003768798194450085,0.859811888819483,0.8598051247905405,-6.764028942507494e-06
