node_id,osm_name,H_m,VEI,face_id,cone,band,bandperp,cone_ok,cone_hw,band_ok,band_hw,bandperp_ok,bandperp_hw
n00193,Park Avenue,52.7304,0.9624724074098878,f7,13.220154449418569,13.220154449658704,10.431175834151977,True,3.9886372131090435,True,3.9886372130365926,True,5.055077283556003
n00194,Park Avenue,126.650496,0.9104727244806863,f9,44.10334317665125,44.10334317698941,42.530499747807085,True,2.871675634491356,True,2.8716756344693377,True,2.977874625292411
n00195,Park Avenue,49.997868000000004,0.9706818483516236,f7,12.91882826613961,12.918828266612966,10.591172242892494,True,3.870155014835592,True,3.870155014693786,True,4.720711442829427
n00196,Park Avenue,145.173192,0.9317003598349568,f9,43.08653336634947,43.08653336655458,40.878147749067324,True,3.3693402707905036,True,3.369340270774464,True,3.551364237224087
n00197,Park Avenue,49.997868000000004,0.9126494752893026,f7,72.59850955518118,17.6440672572149,,True,0.688690006259664,True,2.833692893545007,False,
n00198,Park Avenue,89.42832,0.5824531313236516,f6,,,,False,,False,,False,
n00199,Park Avenue,89.42832,0.589153988486017,f6,,,,False,,False,,False,
n00200,Park Avenue,89.42832,0.5655319375816512,f6,,,,False,,False,,False,
n00201,Park Avenue,83.838288,0.556393507136727,f6,,,,False,,False,,False,
n00203,Park Avenue,83.838288,0.5970606473514958,f6,108.53656017760736,110.32022415360053,108.99042420651921,True,0.7724428327450997,True,0.7599539308701067,True,0.7692261830373284
n00205,Park Avenue,78.24825600000001,0.599776775909549,f6,103.3154751025862,103.31547510234954,102.50019281273205,True,0.757372077341793,True,0.757372077343528,True,0.7633961834877682
n00207,Park Avenue,78.24825600000001,0.5008819706193229,f6,106.60910142585588,107.03246579204084,105.6412292346588,True,0.733973506515481,True,0.731070291812512,True,0.7406980831905003
n00209,Park Avenue,89.269331423388,0.7931910626566513,f11,,63.293014600391516,59.50090268463819,False,,True,1.410413644965424,True,1.5003021365327176
n00210,Park Avenue,69.036830900916,0.8142993858819014,f11,,44.199040424859014,42.214519695991164,False,,True,1.561953160912683,True,1.6353811768577808
n00211,Park Avenue,49.961292,0.8580960322358702,f11,42.83482885365,42.834828853700174,40.422090020137084,True,1.1663707626963646,True,1.1663707626949986,True,1.2359898257391138
n00212,Park Avenue,49.554384000000006,0.8707356472182853,f11,42.98179874659295,42.98179874717322,40.54287040480685,True,1.152915546698195,True,1.1529155466826302,True,1.2222712280905679
n00213,Park Avenue,50.3682,0.8063874802206225,f11,43.12791285711833,43.12791285731581,40.843022197414705,True,1.167879377025931,True,1.1678793770205833,True,1.2332143237722557
n00214,Park Avenue,49.554384000000006,0.8232509519084487,f11,62.12769498592478,43.3242413594544,41.98450783519422,True,0.797621479619141,True,1.1438026944050814,True,1.1803016530411774
n00215,Park Avenue,63.573830235372,0.8794999640471359,f11,42.77359747548824,42.77359747559074,41.389548589307125,True,1.4862867279705316,True,1.4862867279669698,True,1.5359875234734046
n00216,Park Avenue,64.663660470744,0.8464967935277505,f11,44.74618449739663,44.230523187870794,41.330033200887854,True,1.4451212141787462,True,1.4619691518475306,True,1.56456831661473
n00217,Park Avenue,62.484,0.8038705869133725,f11,43.35435031785615,43.354350317757444,41.69878625336001,True,1.4412394498335963,True,1.4412394498368777,True,1.4984608813395655
n00218,Park Avenue,55.65915482574,0.8147376801908103,f11,74.959779435282,42.58274027822121,41.41887164783418,True,0.742520258798179,True,1.3070825048383905,True,1.3438114707465831
n00219,Park Avenue,55.241952000000005,0.8636183777414388,f11,42.46519099007719,42.46519098987126,40.0485080823693,True,1.3008760990362283,True,1.3008760990425368,True,1.3793760278505698
n00220,Park Avenue,55.241952000000005,0.8662106267875402,f11,42.77676446513012,42.776764464901454,40.35313832512172,True,1.2914008969759974,True,1.2914008969829005,True,1.368962967760287
n00221,Park Avenue,49.3395,0.8089291625287853,f11,42.91868379168191,42.918683791989665,41.06183667874273,True,1.1496042199123198,True,1.1496042199040764,True,1.2015901866742977
n00222,Park Avenue,46.357032000000004,0.7583422683371867,f11,42.41704313087709,42.417043130715285,41.2338228896351,True,1.0928869288923828,True,1.0928869288965517,True,1.1242477352652334
n00223,Park Avenue,38.325552,0.8056327283996277,f11,42.92884151544733,42.928841515549934,40.51769340922175,True,0.892769304902139,True,0.8927693049000053,True,0.9458966879708207
n00224,Park Avenue,38.325552,0.8316999626623571,f11,43.53927955927988,43.53927955891257,41.15606073981348,True,0.8802523236016974,True,0.8802523236091235,True,0.9312249839043679
n00225,Park Avenue,38.325552,0.8176950586194969,f11,44.40274882783115,44.40274882789069,42.99111347954012,True,0.8631346709773512,True,0.8631346709761937,True,0.8914761423483367
n00226,Park Avenue,50.081688,0.7843971447146433,f11,42.811067604384064,42.81106760448788,41.46507116729525,True,1.1698303920566417,True,1.1698303920538047,True,1.207804221484152
n00227,Park Avenue,50.081688,0.8519983865689021,f11,43.51739871960167,43.51739871960167,41.04591293123174,True,1.1508428691405572,True,1.1508428691405572,True,1.2201382408988388
n00228,Park Avenue,51.032664000000004,0.8749916030497279,f11,43.17655058378715,43.176550583652464,40.76017270435641,True,1.1819532433691644,True,1.1819532433728512,True,1.2520227617815192
n00229,Park Avenue,64.61760000000001,0.853759241258418,f11,88.62636834025243,44.61483079470824,42.21852015110803,True,0.7291012958121168,True,1.448343495850808,True,1.5305510417873829
