section,street,n,M,sd
62,East 39th Street,5,0.708074559197956,0.09791185798674548
63,East 39th Street,2,0.5370683009570605,0.022860076854496713
64,East 39th Street,6,0.3855142631727159,0.08276909582674709
65,East 40th Street,6,0.2692135466761359,0.04787093176939776
66,East 40th Street,6,0.5317246513059356,0.07922376561552058
67,East 40th Street,7,0.5136076375583322,0.05950878696394042
68,East 40th Street,3,0.25226192706033435,0.025315209053378016
69,East 40th Street,5,0.5728836360354788,0.1747489949645987
70,East 40th Street,2,0.714562225548381,0.035589441449241206
71,East 40th Street,5,0.41011840914710973,0.07532458421408839
72,East 41st Street,5,0.4339121036075702,0.14485456775423586
73,East 41st Street,7,0.3206038633775515,0.08791968908180085
74,East 41st Street,7,0.2845869924325041,0.08697709591565543
75,East 41st Street,3,0.44586785654063116,0.1933301707101622
76,East 41st Street,5,0.3757678166486128,0.07992529487089574
77,East 41st Street,7,0.6399530966177763,0.1278785282157114
78,East 42nd Street,14,0.4561666172870469,0.06382858178245947
79,East 42nd Street,7,0.38344861162684873,0.06090763500881054
80,East 42nd Street,9,0.4156103127886034,0.07448073530293935
81,East 42nd Street,7,0.514673679622962,0.0735533762419339
82,East 42nd Street,1,0.32786123999542277,
83,Lexington Avenue,3,0.5601056544342741,0.07980688822035639
84,Lexington Avenue,2,0.539871164910688,0.08608454564683211
85,Lexington Avenue,2,0.4963058470562539,0.09318536098234255
86,Lexington Avenue,3,0.5524324826570622,0.11557926176963845
87,Lexington Avenue,3,0.5235865246475281,0.03951360091421432
88,Lexington Avenue,2,0.6899649316153653,0.0395936582099461
89,Lexington Avenue,3,0.45871650123194235,0.08451467068324407
90,Lexington Avenue,3,0.2645597428527046,0.03961131719063282
91,Lexington Avenue,1,0.26197307798195624,
92,Madison Avenue,2,0.39663875182777275,0.029252403399290697
93,Madison Avenue,3,0.522237125951656,0.1155923006414154
94,Madison Avenue,2,0.7180671577183952,0.11361518883973065
95,Madison Avenue,2,0.5162691194565364,0.11022409863094573
96,Madison Avenue,2,0.4221111046856126,0.011391857296813036
97,Madison Avenue,2,0.43469922462276167,0.0027349927064951934
98,Madison Avenue,3,0.4417271952961344,0.0561533906441528
99,Madison Avenue,3,0.5061100978139293,0.09289140013243734
100,Park Avenue,2,0.7364358266273963,0.04343808485226205
101,Park Avenue,2,0.754506377887866,0.0027122927013638306
102,Park Avenue,2,0.6540178952542647,0.07138601735080762
103,Park Avenue,2,0.7794518126841958,0.06845895112998404
104,Park Avenue,2,0.7976202690601251,0.03353317480624358
105,Park Avenue,2,0.6371540124984136,0.08433916644977923
106,Park Avenue,1,0.42151570056584486,
107,Park Avenue,3,0.7202450006064094,0.06723421265874764
108,Park Avenue,3,0.7779132717146382,0.024065439394419456
109,Park Avenue,3,0.7110490257188639,0.049833853041237865
110,Park Avenue,3,0.8255821265633848,0.02954320346263513
111,Park Avenue,3,0.7492846908275731,0.07064243630170791
112,Park Avenue,2,0.6462063168709111,0.02387416526666717
113,Park Avenue,3,0.3396254191689268,0.0944104618111818
114,Park Avenue,3,0.6899541840981741,0.017944200785863913
115,Park Avenue,3,0.4351894100982359,0.08530633951796554
116,Park Avenue,3,0.4474701157683536,0.1242134128298018
117,Park Avenue,3,0.12941486951277137,0.029526982604570217
118,Tudor City Place,3,0.7256573635206823,0.08176173999928818
119,Tunnel Exit Street,2,0.2191058095305441,0.028956479028726768
120,Tunnel Exit Street,2,0.45016285127823974,0.0022383254217839465
121,Tunnel Exit Street,2,0.34798308071825534,0.004367875114438248
122,Tunnel Exit Street,2,0.1428230762327238,0.015368497360348494
