node_id,osm_name,chain,chain_pos_m,GVI_al,VEI_al,dwell
n00066,2nd Avenue,2nd Avenue#1,1020.0,0.1292776153567092,0.8883809267693528,0.18513356547386
n00067,2nd Avenue,2nd Avenue#1,1040.0,0.3582796213038575,0.8441860585579484,0.25518094864876834
n00068,2nd Avenue,2nd Avenue#1,1060.0,0.40818888522083574,0.886018531736324,0.20276310073779322
n00069,2nd Avenue,2nd Avenue#1,1080.0,1.4035302413102553,0.8617680199815847,0.286567033316653
n00070,2nd Avenue,2nd Avenue#1,1100.0,3.621191186101708,0.8353869759401868,0.4336638678858685
n00071,2nd Avenue,2nd Avenue#1,1120.0,2.3788559036094243,0.7552814872589733,0.45497398350209
n00072,2nd Avenue,2nd Avenue#1,1140.0,3.3069605959810553,0.8009040384852497,0.4570059723921598
n00073,2nd Avenue,2nd Avenue#1,1160.0,3.1352799315887943,0.7933386005926844,0.4562735435749287
n00074,2nd Avenue,2nd Avenue#1,1180.0,9.336772975928335,0.7912526477201576,0.7772365684693481
n00075,2nd Avenue,2nd Avenue#1,1200.0,5.077647443774154,0.5546690518150198,0.7056206685908606
n00076,3rd Avenue,3rd Avenue#0,460.0,1.6438943491110147,0.8117729275151809,0.3595349222856963
n00077,3rd Avenue,3rd Avenue#0,480.0,1.9239955741927148,0.8304176202774166,0.35238043421080023
n00078,3rd Avenue,3rd Avenue#0,500.0,3.7168679159012266,0.8907025543452478,0.36628651405482315
n00079,3rd Avenue,3rd Avenue#0,520.0,3.3648928351922285,0.8923387758629474,0.34588814072642826
n00080,3rd Avenue,3rd Avenue#0,540.0,2.810818767935813,0.9127814632380349,0.2877818448577134
n00081,3rd Avenue,3rd Avenue#0,560.0,2.4289054326499757,0.832098712532983,0.37632896973098906
n00082,3rd Avenue,3rd Avenue#0,580.0,6.569776244677816,0.9159066915848717,0.476337402360108
n00083,3rd Avenue,3rd Avenue#0,600.0,4.951799700625448,0.915892861912136,0.3931911638486622
n00084,3rd Avenue,3rd Avenue#0,620.0,4.125915860263082,0.8849824815792184,0.39529887904618544
n00085,3rd Avenue,3rd Avenue#0,640.0,0.94580280363951,0.8169798866891411,0.31775874141619737
n00086,3rd Avenue,3rd Avenue#0,660.0,0.41903531628940455,0.8950030366369085,0.19068986127850107
n00087,3rd Avenue,3rd Avenue#0,680.0,3.2769682965661393,0.8725385359930984,0.3686292167478466
n00088,3rd Avenue,3rd Avenue#0,700.0,4.117739346100622,0.8589434366282258,0.429746608071823
n00089,3rd Avenue,3rd Avenue#0,720.0,1.507721460613764,0.7916640439195732,0.3743773863662401
n00090,3rd Avenue,3rd Avenue#0,740.0,2.9590724401065986,0.8593041528315799,0.3697226658282142
n00091,3rd Avenue,3rd Avenue#0,760.0,4.80189869268053,0.8919032881644022,0.4203676122547162
n00092,3rd Avenue,3rd Avenue#0,780.0,4.617387391720934,0.908832667341055,0.38648266221816374
n00094,3rd Avenue,3rd Avenue#0,820.0,6.023184346428797,0.8721075892488166,0.5103673546789963
n00095,3rd Avenue,3rd Avenue#0,840.0,1.895938250781443,0.894405846003482,0.26745393499380754
n00096,3rd Avenue,3rd Avenue#0,860.0,1.1434098210359245,0.902784800786913,0.2167492775352876
n00097,3rd Avenue,3rd Avenue#0,880.0,0.4507693559711522,0.8507533267997023,0.2517201536314041
n00098,3rd Avenue,3rd Avenue#0,900.0,2.096941782768107,0.8997076830696282,0.2702074141019645
n00099,3rd Avenue,3rd Avenue#0,920.0,1.3300473715437549,0.9088630642075138,0.2174626508251561
n00100,3rd Avenue,3rd Avenue#0,940.0,0.6802024716288093,0.8988584607161659,0.19860511839810888
n00101,3rd Avenue,3rd Avenue#0,960.0,0.6485495428575578,0.8737610185190084,0.23188149103519695
n00102,3rd Avenue,3rd Avenue#0,980.0,0.28677492621218015,0.8864904318247642,0.1958660171524584
n00103,3rd Avenue,3rd Avenue#0,1000.0,1.7542301348910883,0.885671383471221,0.27243427902358225
n00104,3rd Avenue,3rd Avenue#0,1020.0,0.5887308091213032,0.9334817081339486,0.14203033285793296
n00105,3rd Avenue,3rd Avenue#0,1040.0,0.5330045291380998,0.8987222003674185,0.19123449724425418
n00106,3rd Avenue,3rd Avenue#0,1060.0,1.6380032646338651,0.9299614338252173,0.20143605255866143
n00107,3rd Avenue,3rd Avenue#0,1080.0,1.7693164445107512,0.9382837159421415,0.1951793835122013
n00108,3rd Avenue,3rd Avenue#0,1100.0,0.5663527643851414,0.9360989777623214,0.1367833917373068
n00109,3rd Avenue,3rd Avenue#0,1120.0,0.09047260897163265,0.8829772211009719,0.19064166369525667
n00110,3rd Avenue,3rd Avenue#0,1140.0,0.25033312339600955,0.9292532188292052,0.1312025924642862
n00111,East 34th Street,East 34th Street#0,140.0,1.1669074122946692,0.8840004557652537,0.2445597388658799
n00112,East 34th Street,East 34th Street#0,160.0,0.4471255974103657,0.8773133868101934,0.21672536570755613
n00113,East 34th Street,East 34th Street#0,180.0,0.1829454179869264,0.9387474105020932,0.11290500569611531
n00114,East 34th Street,East 34th Street#0,200.0,0.08425349779305495,0.9267336473792707,0.12654789297765587
n00115,East 34th Street,East 34th Street#0,220.0,0.1515691405333298,0.9318253327778507,0.12213931776697926
n00116,East 34th Street,East 34th Street#0,240.0,0.32722401198387363,0.9290833045586289,0.1354174428764581
n00117,East 34th Street,East 34th Street#0,260.0,0.9633881373714425,0.9016964327500587,0.20907186370431646
n00118,East 34th Street,East 34th Street#0,280.0,3.2411296222779695,0.8462005766967147,0.4008612622260453
n00119,East 34th Street,East 34th Street#0,300.0,2.6546937037926472,0.8018806199763782,0.4224186616736308
n00120,East 34th Street,East 34th Street#0,320.0,2.5725340477101124,0.8344902826726674,0.38084219265481734
n00121,East 34th Street,East 34th Street#0,340.0,4.0283992142407765,0.8666045661270613,0.4151490314051365
n00122,East 34th Street,East 34th Street#0,360.0,6.448367751027034,0.9213790682846359,0.4618492868409021
n00123,East 34th Street,East 34th Street#0,380.0,4.640767528325429,0.9214381008353253,0.3688457825638155
n00124,East 34th Street,East 34th Street#0,400.0,3.8996416784973835,0.918669892159022,0.334936632019573
n00125,East 34th Street,East 34th Street#0,420.0,6.840589131201176,0.9118840864310775,0.4962514543804495
n00126,East 34th Street,East 34th Street#0,440.0,5.129781206864939,0.9065181305935569,0.4162175255878372
n00127,East 34th Street,East 34th Street#0,460.0,4.460564800456001,0.8079460627898146,0.5085857651873573
n00128,East 34th Street,East 34th Street#0,480.0,2.7498241551228113,0.9028652862559605,0.29920518607297175
n00129,East 34th Street,East 34th Street#0,500.0,1.3106253469175746,0.9262365164758043,0.19034891047448016
n00130,East 34th Street,East 34th Street#0,520.0,2.7607081113517022,0.895187920946253,0.31079314408556524
n00131,East 34th Street,East 34th Street#0,540.0,1.8056780771927106,0.8688153828479633,0.29797053000219825
n00132,East 34th Street,East 34th Street#0,560.0,2.4723985696536492,0.9119182385868956,0.27166785153922896
n00133,East 34th Street,East 34th Street#0,580.0,2.6609451284632715,0.9134258986896471,0.27911967931950515
n00134,East 34th Street,East 34th Street#0,600.0,1.473597661377115,0.8391604610242133,0.31869193400677576
n00135,East 34th Street,East 34th Street#0,640.0,3.038896643049616,0.8926294454672149,0.3287206424530351
n00136,East 34th Street,East 34th Street#0,660.0,4.607223002777886,0.9020801880447763,0.3958164041718732
n00137,East 34th Street,East 34th Street#0,680.0,6.4795466704853,0.8728501851390706,0.5328294456919871
n00138,East 34th Street,East 34th Street#0,700.0,3.4097472365024406,0.8584642289833817,0.3939733396013825
n00139,East 34th Street,East 34th Street#0,720.0,5.518955517550912,0.8665688454307627,0.4918134845488145
n00140,East 34th Street,East 34th Street#0,740.0,3.3404952078541252,0.8974407120220114,0.3373811300422744
n00141,East 34th Street,East 34th Street#0,760.0,2.826529727016826,0.891978590084747,0.3187237951589267
n00142,East 34th Street,East 34th Street#0,780.0,4.440797225168847,0.8589160134066862,0.44638780700466296
