file,node_id,cardinal,seq,street,direction,a_sidewalk_shed,a_sidewalk_shed__crop,scaffolding,scaffolding__crop,construction_scaffolding_on_a_building_facade,construction_scaffolding_on_a_building_facade__crop,a_green_wooden_shed_over_the_sidewalk,a_green_wooden_shed_over_the_sidewalk__crop,metal_scaffold_poles,metal_scaffold_poles__crop,a_construction_fence,a_construction_fence__crop,a_plywood_construction_barrier,a_plywood_construction_barrier__crop,a_street_tree,a_street_tree__crop
east_40th_street/west_to_east/02_n00550_E.jpg,n00550,E,2,east_40th_street,west_to_east,0.10186,3,0.2297,3,0.24575,1,0.06234,0,0.18545,3,0.09814,3,0.13014,3,0.25142,1
east_40th_street/west_to_east/03_n00551_E.jpg,n00551,E,3,east_40th_street,west_to_east,0.12763,1,0.16711,1,0.2717,1,0.08204,3,0.10701,3,0.15744,3,0.15817,1,0.19364,3
east_40th_street/west_to_east/04_n00552_E.jpg,n00552,E,4,east_40th_street,west_to_east,0.15707,2,0.18209,1,0.26005,1,0.1234,2,0.20222,0,0.1647,3,0.18878,2,0.17697,3
east_40th_street/west_to_east/05_n00553_E.jpg,n00553,E,5,east_40th_street,west_to_east,0.19073,3,0.174,1,0.28269,1,0.10685,3,0.18494,2,0.15247,3,0.2159,3,0.28329,3
east_40th_street/west_to_east/06_n00554_E.jpg,n00554,E,6,east_40th_street,west_to_east,0.12921,3,0.18406,1,0.30399,1,0.07354,3,0.16803,3,0.19671,2,0.16847,3,0.52844,2
east_40th_street/west_to_east/07_n00555_E.jpg,n00555,E,7,east_40th_street,west_to_east,0.11724,3,0.12877,3,0.23413,1,0.04894,3,0.10942,3,0.16089,3,0.1276,3,0.23772,1
east_40th_street/west_to_east/08_n00556_E.jpg,n00556,E,8,east_40th_street,west_to_east,0.17451,0,0.21993,1,0.25785,0,0.14136,0,0.1203,1,0.17188,3,0.12112,3,0.34152,1
east_40th_street/west_to_east/09_n00557_E.jpg,n00557,E,9,east_40th_street,west_to_east,0.21515,3,0.29753,1,0.29836,1,0.16461,3,0.15779,1,0.2927,0,0.1815,3,0.25884,0
east_40th_street/west_to_east/10_n00558_E.jpg,n00558,E,10,east_40th_street,west_to_east,0.20313,1,0.3194,1,0.37272,1,0.09235,1,0.17227,3,0.18589,0,0.11234,3,0.38472,3
east_40th_street/west_to_east/11_n00559_E.jpg,n00559,E,11,east_40th_street,west_to_east,0.22898,3,0.32644,2,0.2589,2,0.16469,3,0.25289,2,0.20055,2,0.16507,3,0.41419,0
east_40th_street/west_to_east/12_n00560_E.jpg,n00560,E,12,east_40th_street,west_to_east,0.14153,0,0.37281,1,0.28434,1,0.08955,1,0.16481,2,0.27157,2,0.24435,3,0.42585,0
east_40th_street/west_to_east/13_n00561_E.jpg,n00561,E,13,east_40th_street,west_to_east,0.13462,2,0.5808,2,0.26337,2,0.09545,3,0.2246,2,0.22242,2,0.14293,2,0.40991,3
east_40th_street/west_to_east/14_n00562_E.jpg,n00562,E,14,east_40th_street,west_to_east,0.14989,3,0.5467,0,0.26781,0,0.13722,3,0.26177,3,0.1463,1,0.20262,3,0.24795,3
east_40th_street/west_to_east/15_n00563_E.jpg,n00563,E,15,east_40th_street,west_to_east,0.15352,3,0.25073,1,0.29215,1,0.12452,1,0.29549,0,0.30011,3,0.24916,3,0.2628,3
east_40th_street/west_to_east/16_n00564_E.jpg,n00564,E,16,east_40th_street,west_to_east,0.21657,1,0.28188,1,0.29328,1,0.18005,1,0.2859,0,0.19325,0,0.14148,3,0.30395,1
