street,direction,seq,node_id,cardinal,file,bearing,in_view,nearest_m,shed_in_view,shed_nearest_m,supported_in_view,supported_nearest_m,suspended_in_view,suspended_nearest_m,fence_in_view,fence_nearest_m
2nd_avenue,north_to_south,25,n00053,S,2nd_avenue/north_to_south/25_n00053_S.jpg,208.3,False,98.9,False,104.0,False,108.8,False,98.9,False,164.0
2nd_avenue,north_to_south,26,n00052,S,2nd_avenue/north_to_south/26_n00052_S.jpg,208.3,False,100.3,False,100.3,False,100.3,False,100.3,False,147.5
2nd_avenue,north_to_south,27,n00051,S,2nd_avenue/north_to_south/27_n00051_S.jpg,208.3,False,86.4,False,95.4,False,86.4,False,95.4,False,132.1
2nd_avenue,north_to_south,28,n00050,S,2nd_avenue/north_to_south/28_n00050_S.jpg,208.3,False,66.4,False,94.5,False,66.4,False,94.5,False,118.2
2nd_avenue,north_to_south,29,n00049,S,2nd_avenue/north_to_south/29_n00049_S.jpg,208.3,False,46.4,False,97.8,False,46.4,False,97.8,False,106.2
2nd_avenue,north_to_south,30,n00048,S,2nd_avenue/north_to_south/30_n00048_S.jpg,208.3,True,26.4,False,104.8,True,26.4,False,104.8,False,96.8
2nd_avenue,north_to_south,31,n00047,S,2nd_avenue/north_to_south/31_n00047_S.jpg,208.3,True,6.6,False,104.5,True,6.6,False,115.1,False,90.9
2nd_avenue,north_to_south,32,n00046,S,2nd_avenue/north_to_south/32_n00046_S.jpg,208.3,False,13.8,False,103.2,False,13.8,False,110.3,False,89.2
2nd_avenue,south_to_north,1,n00046,N,2nd_avenue/south_to_north/01_n00046_N.jpg,28.3,True,13.8,False,103.2,True,13.8,False,110.3,False,89.2
2nd_avenue,south_to_north,2,n00047,N,2nd_avenue/south_to_north/02_n00047_N.jpg,28.3,False,6.6,False,104.5,False,6.6,False,115.1,False,90.9
2nd_avenue,south_to_north,3,n00048,N,2nd_avenue/south_to_north/03_n00048_N.jpg,28.3,False,26.4,False,104.8,False,26.4,False,104.8,False,96.8
2nd_avenue,south_to_north,4,n00049,N,2nd_avenue/south_to_north/04_n00049_N.jpg,28.3,False,46.4,False,97.8,False,46.4,False,97.8,False,106.2
2nd_avenue,south_to_north,5,n00050,N,2nd_avenue/south_to_north/05_n00050_N.jpg,28.3,False,66.4,False,94.5,False,66.4,False,94.5,False,118.2
2nd_avenue,south_to_north,6,n00051,N,2nd_avenue/south_to_north/06_n00051_N.jpg,28.3,False,86.4,False,95.4,False,86.4,False,95.4,False,132.1
2nd_avenue,south_to_north,7,n00052,N,2nd_avenue/south_to_north/07_n00052_N.jpg,28.3,False,100.3,False,100.3,False,100.3,False,100.3,False,147.5
2nd_avenue,south_to_north,8,n00053,N,2nd_avenue/south_to_north/08_n00053_N.jpg,28.3,False,98.9,False,104.0,False,108.8,False,98.9,False,164.0
2nd_avenue,south_to_north,9,n00054,N,2nd_avenue/south_to_north/09_n00054_N.jpg,28.3,False,84.2,False,84.2,False,109.9,False,84.2,False,181.1
2nd_avenue,south_to_north,10,n00055,N,2nd_avenue/south_to_north/10_n00055_N.jpg,28.3,False,64.5,False,64.5,False,111.0,False,64.5,False,188.8
2nd_avenue,south_to_north,11,n00056,N,2nd_avenue/south_to_north/11_n00056_N.jpg,28.3,False,45.1,False,45.1,False,115.5,False,45.1,False,174.2
2nd_avenue,south_to_north,12,n00058,N,2nd_avenue/south_to_north/12_n00058_N.jpg,28.3,True,13.0,True,13.0,False,133.3,True,13.0,False,149.0
2nd_avenue,south_to_north,13,n00059,N,2nd_avenue/south_to_north/13_n00059_N.jpg,28.3,False,21.0,False,21.0,False,139.0,False,21.0,False,139.0
2nd_avenue,south_to_north,14,n00060,N,2nd_avenue/south_to_north/14_n00060_N.jpg,28.3,False,38.9,False,38.9,False,131.4,False,38.9,False,131.4
2nd_avenue,south_to_north,15,n00061,N,2nd_avenue/south_to_north/15_n00061_N.jpg,28.3,False,40.9,False,40.9,False,126.4,False,58.2,False,126.4
2nd_avenue,south_to_north,16,n00062,N,2nd_avenue/south_to_north/16_n00062_N.jpg,28.3,False,35.9,False,35.9,False,114.9,False,77.9,False,124.6
2nd_avenue,south_to_north,17,n00063,N,2nd_avenue/south_to_north/17_n00063_N.jpg,28.3,False,41.2,False,41.2,False,102.0,False,71.2,False,125.9
2nd_avenue,south_to_north,18,n00064,N,2nd_avenue/south_to_north/18_n00064_N.jpg,28.3,False,51.2,False,51.2,False,91.5,False,51.2,False,130.4
2nd_avenue,south_to_north,19,n00065,N,2nd_avenue/south_to_north/19_n00065_N.jpg,28.3,False,31.2,False,31.2,False,84.5,False,31.2,False,137.6
2nd_avenue,south_to_north,20,n00066,N,2nd_avenue/south_to_north/20_n00066_N.jpg,28.3,True,11.2,True,11.2,False,82.0,True,11.2,False,147.2
2nd_avenue,south_to_north,21,n00067,N,2nd_avenue/south_to_north/21_n00067_N.jpg,28.3,False,8.9,False,8.9,False,84.2,False,8.9,False,158.8
2nd_avenue,south_to_north,22,n00068,N,2nd_avenue/south_to_north/22_n00068_N.jpg,28.3,False,28.8,False,28.8,False,90.9,False,28.8,False,171.9
2nd_avenue,south_to_north,23,n00069,N,2nd_avenue/south_to_north/23_n00069_N.jpg,28.3,False,48.8,False,48.8,False,100.6,False,48.8,False,186.2
2nd_avenue,south_to_north,24,n00070,N,2nd_avenue/south_to_north/24_n00070_N.jpg,28.3,False,68.8,False,68.8,False,81.7,False,68.8,False,187.0
2nd_avenue,south_to_north,25,n00071,N,2nd_avenue/south_to_north/25_n00071_N.jpg,28.3,False,63.7,False,63.7,False,63.7,False,63.7,False,169.9
2nd_avenue,south_to_north,26,n00072,N,2nd_avenue/south_to_north/26_n00072_N.jpg,28.3,False,47.4,False,47.4,False,47.4,False,47.4,False,153.5
2nd_avenue,south_to_north,27,n00073,N,2nd_avenue/south_to_north/27_n00073_N.jpg,28.3,False,35.1,False,35.1,False,35.1,False,35.1,False,138.1
2nd_avenue,south_to_north,28,n00074,N,2nd_avenue/south_to_north/28_n00074_N.jpg,28.3,False,31.7,False,31.7,False,31.7,False,31.7,False,124.1
2nd_avenue,south_to_north,29,n00075,N,2nd_avenue/south_to_north/29_n00075_N.jpg,28.3,True,25.6,True,25.6,False,39.5,True,25.6,False,112.2
2nd_avenue,south_to_north,30,n00076,N,2nd_avenue/south_to_north/30_n00076_N.jpg,28.3,False,17.6,False,17.6,False,54.1,False,17.6,False,102.6
2nd_avenue,south_to_north,31,n00077,N,2nd_avenue/south_to_north/31_n00077_N.jpg,28.3,False,27.7,False,27.7,False,52.0,False,27.7,False,96.4
2nd_avenue,south_to_north,32,n00078,N,2nd_avenue/south_to_north/32_n00078_N.jpg,28.3,False,44.9,False,44.9,False,47.5,False,44.9,False,94.2
3rd_avenue,north_to_south,1,n00113,S,3rd_avenue/north_to_south/01_n00113_S.jpg,208.2,True,16.6,True,16.6,False,113.6,False,32.8,True,16.6
3rd_avenue,north_to_south,2,n00112,S,3rd_avenue/north_to_south/02_n00112_S.jpg,208.2,False,23.6,False,23.6,False,114.5,False,36.8,False,23.6
3rd_avenue,north_to_south,3,n00111,S,3rd_avenue/north_to_south/03_n00111_S.jpg,208.2,False,36.2,False,40.5,False,118.9,False,36.2,False,40.5
3rd_avenue,north_to_south,4,n00110,S,3rd_avenue/north_to_south/04_n00110_S.jpg,208.2,True,16.4,False,52.5,False,126.3,True,16.4,False,59.3
3rd_avenue,north_to_south,5,n00109,S,3rd_avenue/north_to_south/05_n00109_S.jpg,208.2,False,5.2,False,32.6,False,136.3,False,5.2,False,78.7
3rd_avenue,north_to_south,6,n00108,S,3rd_avenue/north_to_south/06_n00108_S.jpg,208.2,True,12.8,True,12.8,False,145.0,True,12.8,False,98.4
3rd_avenue,north_to_south,7,n00107,S,3rd_avenue/north_to_south/07_n00107_S.jpg,208.2,False,8.2,False,8.2,False,137.1,False,8.2,False,112.3
3rd_avenue,north_to_south,8,n00106,S,3rd_avenue/north_to_south/08_n00106_S.jpg,208.2,False,27.8,False,27.8,False,131.7,False,27.8,False,92.2
3rd_avenue,north_to_south,9,n00105,S,3rd_avenue/north_to_south/09_n00105_S.jpg,208.2,False,47.7,False,47.7,False,129.2,False,47.7,False,72.3
3rd_avenue,north_to_south,10,n00104,S,3rd_avenue/north_to_south/10_n00104_S.jpg,208.2,False,52.2,False,67.7,False,120.8,False,52.2,False,52.2
3rd_avenue,north_to_south,11,n00103,S,3rd_avenue/north_to_south/11_n00103_S.jpg,208.2,False,32.3,False,87.6,False,100.9,False,32.3,False,32.3
3rd_avenue,north_to_south,12,n00102,S,3rd_avenue/north_to_south/12_n00102_S.jpg,208.2,True,12.3,False,80.9,False,80.9,True,12.3,True,12.3
