node_id,street_axis_deg,GVI,VEI,osm_name,typology,northing_m,lat,lon,chain,chain_pos_m,street_segment,cross_dist,along_dist,mapping_id,scaffold_frac,SVF_band,BVF_band,sky_of_pair,sky_veg_residual,face_id
n00055,28.526961761051496,1.8744122096621565,0.525839561665407,2nd Avenue,avenue_secondary,195.94817060696045,40.746192,-73.974856,2nd_avenue,180.04527735814222,2nd_avenue,234.8720362882065,-148.43396345085898,2nd_avenue_010,0.000119043768791,0.22564879609999086,0.250242437872509,0.474160438334593,0.24851164223460212,f2
n00056,28.447931975093695,2.2059221409683842,0.5098561521373237,2nd Avenue,avenue_secondary,215.8288957368842,40.746348999999995,-73.974741,2nd_avenue,199.99664642664897,2nd_avenue,234.90895284534471,-128.47926203155347,2nd_avenue_011,0.0191499048378318,0.22824303302188098,0.23742237115927667,0.4901438478626763,0.2619008148407953,f2
n00057,28.332273750982097,0.0,0.0010045264911365927,2nd Avenue,avenue_secondary,235.80630132978388,40.746507,-73.974626,2nd_avenue,220.04505952934778,2nd_avenue,234.89203120798533,-108.4274339407908,2nd_avenue_012,0.1254903003573417,0.014581717156227464,1.4662449989130476e-05,0.9989954735088634,0.984413756352636,f2
n00058,28.237836543240235,5.07785915107227,0.5533182199788219,2nd Avenue,avenue_secondary,255.68702645981358,40.746664,-73.974511,2nd_avenue,239.99640794502673,2nd_avenue,234.9289477640745,-88.47273252206678,2nd_avenue_013,0.0051652891561388,0.19983170877176284,0.24753757672335727,0.4466817800211781,0.24685007124941524,f2
n00059,28.201148791408485,9.336178901430907,0.7969942394231408,2nd Avenue,avenue_secondary,275.6235460300318,40.746821999999995,-73.974397,2nd_avenue,260.0040469670582,2nd_avenue,234.8382042762169,-68.46182455123031,2nd_avenue_014,0.0298396330326795,0.0895052120780021,0.35139465117545926,0.20300576057685915,0.11350054849885705,f2
n00060,28.149212561507966,3.135229681113919,0.786189064267502,2nd Avenue,avenue_secondary,295.56006560035587,40.74697999999999,-73.974283,2nd_avenue,280.0116758534051,2nd_avenue,234.74746078731025,-48.45091658097532,2nd_avenue_015,0.0978075759485363,0.09773814252815172,0.35938600873805565,0.213810935732498,0.11607279320434627,f2
n00061,28.179723298115988,3.3072452355002855,0.8035071387463185,2nd Avenue,avenue_secondary,315.53747119394257,40.74713800000001,-73.974168,2nd_avenue,300.06004781196174,2nd_avenue,234.73053914995089,-28.39908849021268,2nd_avenue_016,0.1981150656938552,0.09199164010101152,0.37617620841052296,0.19649286125368148,0.10450122115266997,f2
n00062,28.173756478025723,2.3788209505457547,0.755958426175973,2nd Avenue,avenue_secondary,335.4739907634738,40.74729599999999,-73.974054,2nd_avenue,320.06765643302634,2nd_avenue,234.6397956620933,-8.38818051937622,2nd_avenue_017,0.0,0.11831761997645145,0.36650805182391005,0.24404157382402702,0.12572395384757556,f2
n00063,28.131170839196187,3.622861298568729,0.8306809111043749,2nd Avenue,avenue_secondary,355.3138298729887,40.74745300000001,-73.97394,2nd_avenue,339.9780015870328,2nd_avenue,234.60289036663508,11.52560077884013,2nd_avenue_018,0.0061499222647398,0.08046832903756286,0.39477831658528656,0.16931908889562508,0.08885075985806222,f2
n00064,28.158133945454612,1.4037225236595434,0.8613074548545518,2nd Avenue,avenue_secondary,375.25034944193897,40.74761099999999,-73.973826,2nd_avenue,359.985590005954,2nd_avenue,234.5121468777284,31.53650874909509,2nd_avenue_019,0.0196220451034605,0.06858997719950355,0.42595698729359616,0.13869254514544815,0.0701025679459446,f2
n00065,28.148539771542755,0.40699872189159875,0.885113507292102,2nd Avenue,avenue_secondary,395.18686901295,40.747769,-73.973712,2nd_avenue,379.9931682914945,2nd_avenue,234.4214033888217,51.54741671935006,2nd_avenue_020,0.019559497013688,0.05771635968556269,0.4446608852383301,0.11488649270789797,0.05717013302233528,f2
n00066,28.14840530358535,1.1749216554080866,0.8499455648994558,2nd Avenue,avenue_secondary,415.1642746057438,40.747927,-73.973597,2nd_avenue,400.0414887965788,2nd_avenue,234.40448175251143,71.59924481069422,2nd_avenue_021,0.0130141070112586,0.07406197019180162,0.41950538183065805,0.15005443510054417,0.07599246490874255,f2
n00067,28.15773075909331,0.022382551670889216,0.8809695721744752,2nd Avenue,avenue_secondary,435.1007941767549,40.748085,-73.973483,2nd_avenue,420.0490468171188,2nd_avenue,234.31373826322223,91.61015278163931,2nd_avenue_022,0.0456926319748162,0.062298412141505506,0.46108382952213617,0.11903042782552475,0.05673201568401925,f2
n00068,28.172934011648163,0.1754843007153981,0.8635844459231142,2nd Avenue,avenue_secondary,455.037313747079,40.748243,-73.973369,2nd_avenue,440.0565947037869,2nd_avenue,234.22299477431557,111.62106075189426,2nd_avenue_023,0.0115391747895045,0.06337700139183207,0.4012107930184145,0.13641555407688577,0.0730385526850537,f2
n00069,28.193998645207206,1.8898357173388542,0.855215280162819,2nd Avenue,avenue_secondary,474.8771528551141,40.7484,-73.973255,2nd_avenue,459.96687876839616,2nd_avenue,234.18608948028896,131.534842050002,2nd_avenue_024,0.0683634090237319,0.06854363887721154,0.4048739907890471,0.144784719837181,0.07624108095996945,f2
n00070,28.17849708275054,4.408265792069201,0.8588088646761599,2nd Avenue,avenue_secondary,494.85455844732684,40.748557999999996,-73.97314,2nd_avenue,480.0151581260335,2nd_avenue,234.1691678425471,151.5866701414548,2nd_avenue_025,0.03486771889402,0.06585146429729548,0.4005479604701068,0.1411911353238401,0.07533967102654461,f2
n00071,28.126561918104045,6.3360519366742345,0.8909621177067578,2nd Avenue,avenue_secondary,514.7910780183379,40.748716,-73.973026,2nd_avenue,500.0226756805361,2nd_avenue,234.0784243536404,171.59757811170974,2nd_avenue_026,0.0,0.05078851167033866,0.4149992549496149,0.10903788229324218,0.05824937062290352,f2
