file,mast_share,veg_above15,veg_up0_15,veg_eye0_15,veg_below15,veg_all,veg_above_horizon,veg_on_bld,bld_all,sky_all
1st_avenue/south_to_north/026_n00025_N_R.jpg,0.0237588652482269,0.0,0.000517,0.0,0.0,7.1e-05,0.000139,1e-05,0.052971,0.424472
1st_avenue/south_to_north/027_n00026_N_L.jpg,0.0237588652482269,0.008975,0.077428,0.000186,0.0,0.01403,0.027359,0.002654,0.41563,0.091388
1st_avenue/south_to_north/027_n00026_N_R.jpg,0.0237588652482269,0.0,0.058963,3.7e-05,0.0,0.008111,0.015835,0.001037,0.059828,0.41719
1st_avenue/south_to_north/028_n00027_N_L.jpg,0.0237588652482269,0.008029,0.080062,0.0,0.0,0.014012,0.027374,0.002758,0.414025,0.092076
1st_avenue/south_to_north/028_n00027_N_R.jpg,0.0237588652482269,0.0,0.030361,0.0,0.0,0.004174,0.008154,0.000719,0.059178,0.417382
1st_avenue/south_to_north/029_n00028_N_L.jpg,0.0237588652482269,0.0,0.005042,0.0,0.0,0.000693,0.001354,0.000409,0.509324,0.038204
1st_avenue/south_to_north/029_n00028_N_R.jpg,0.0237588652482269,0.0,0.117663,0.0,0.0,0.016175,0.031599,0.001695,0.067249,0.402635
1st_avenue/south_to_north/030_n00029_N_L.jpg,0.0237588652482269,0.0,0.002459,0.00013,0.0,0.000356,0.00066,0.00027,0.504827,0.04426
1st_avenue/south_to_north/030_n00029_N_R.jpg,0.0237588652482269,0.0,0.124368,0.001197,0.0,0.017262,0.0334,0.002297,0.069838,0.399523
1st_avenue/south_to_north/031_n00030_N_L.jpg,0.0237588652482269,0.0,0.009485,0.0005,0.0,0.001373,0.002547,0.000613,0.507314,0.041446
1st_avenue/south_to_north/031_n00030_N_R.jpg,0.0237588652482269,0.0,0.061806,0.0,0.0,0.008497,0.016598,0.000822,0.082851,0.39574
1st_avenue/south_to_north/032_n00031_N_L.jpg,0.0237588652482269,0.0,0.045218,0.006597,0.0,0.007123,0.012144,0.00126,0.496298,0.047659
1st_avenue/south_to_north/032_n00031_N_R.jpg,0.0237588652482269,0.0,0.18298,0.004313,0.0,0.025748,0.049141,0.002521,0.089015,0.378518
1st_avenue/south_to_north/033_n00032_N_L.jpg,0.0237588652482269,0.0,0.08654,0.007292,0.0,0.012899,0.023241,0.003208,0.495905,0.043042
1st_avenue/south_to_north/033_n00032_N_R.jpg,0.0237588652482269,0.0,0.221296,0.002871,0.0,0.030817,0.059431,0.002293,0.090444,0.372002
1st_avenue/south_to_north/034_n00033_N_L.jpg,0.0237588652482269,0.0,0.074596,0.008602,0.0,0.011437,0.020034,0.003305,0.445119,0.065382
1st_avenue/south_to_north/034_n00033_N_R.jpg,0.0237588652482269,0.0048,0.247047,0.012342,0.0,0.037456,0.069858,0.00211,0.089902,0.355972
1st_avenue/south_to_north/035_n00034_N_L.jpg,0.0237588652482269,0.001404,0.24248,0.025884,0.0,0.037418,0.066147,0.008696,0.411158,0.053273
1st_avenue/south_to_north/035_n00034_N_R.jpg,0.0237588652482269,0.001844,0.33492,0.042965,0.0,0.052639,0.091294,0.002456,0.115893,0.34495
1st_avenue/south_to_north/036_n00035_N_L.jpg,0.0237588652482269,0.023535,0.042508,0.006524,0.0,0.015553,0.028631,0.003717,0.368108,0.121464
1st_avenue/south_to_north/036_n00035_N_R.jpg,0.0237588652482269,0.056749,0.539883,0.047722,0.0,0.102027,0.186499,0.005135,0.094886,0.312349
1st_avenue/south_to_north/037_n00036_N_L.jpg,0.0237588652482269,0.097582,0.209683,0.046243,0.0,0.071719,0.127688,0.008581,0.408389,0.022578
1st_avenue/south_to_north/037_n00036_N_R.jpg,0.0237588652482269,0.0,0.253356,0.019679,0.0,0.037535,0.068041,0.001938,0.136647,0.320951
1st_avenue/south_to_north/038_n00037_N_L.jpg,0.0237588652482269,0.004008,0.171421,0.014832,0.0,0.027105,0.048968,0.006777,0.391879,0.083177
1st_avenue/south_to_north/038_n00037_N_R.jpg,0.0237588652482269,0.029884,0.035552,0.00227,0.0,0.016388,0.031406,0.00122,0.131705,0.258946
1st_avenue/south_to_north/039_n00038_N_L.jpg,0.0237588652482269,0.13002,0.082955,0.000762,0.0,0.06019,0.11738,0.007329,0.426632,0.013493
1st_avenue/south_to_north/039_n00038_N_R.jpg,0.0237588652482269,0.0,0.192652,0.011391,0.0,0.02805,0.051738,0.001262,0.145226,0.314412
1st_avenue/south_to_north/040_n00039_N_L.jpg,0.0237588652482269,0.004607,0.196483,0.0,0.0,0.028736,0.056137,0.005305,0.360404,0.096409
