node_id,street,street_pos_m,seg_id
n00239,East 37th Street,0.0,s9
n00242,East 37th Street,59.9996645613798,s10
n00247,East 37th Street,159.9984122131399,s11
n00248,East 37th Street,179.99831905836942,s11
n00249,East 37th Street,199.99823960048252,s11
n00250,East 37th Street,239.99442597747554,s11
n00251,East 37th Street,259.99394239719055,s11
n00252,East 37th Street,279.9934588163617,s11
n00253,East 37th Street,299.99297523607663,s11
n00254,East 37th Street,319.9481543725459,s11
n00255,East 37th Street,339.6902120357324,s11
n00256,East 37th Street,359.6807454064695,s11
n00257,East 37th Street,379.49860297959435,s11
n00260,East 37th Street,459.2108328015412,s12
n00261,East 37th Street,479.21037856738155,s12
n00262,East 37th Street,499.2099335373516,s12
n00263,East 37th Street,519.2094972351417,s12
n00264,East 37th Street,539.2090609324904,s12
n00265,East 37th Street,559.208999136553,s12
n00266,East 37th Street,579.2089463934204,s12
n00267,East 37th Street,599.208649660439,s12
n00268,East 37th Street,619.2084946588262,s12
n00269,East 37th Street,639.2084938862315,s12
n00270,East 37th Street,659.2084931131953,s12
n00271,East 37th Street,679.2084923404982,s12
n00272,East 37th Street,699.2084915679034,s12
n00273,East 37th Street,719.2084907953086,s12
n00274,East 37th Street,739.208235531992,s12
n00275,East 37th Street,759.2078027092084,s12
n00276,East 37th Street,779.2073876844408,s12
n00277,East 37th Street,799.2069109005272,s12
n00278,East 37th Street,819.2064341166135,s12
n00279,East 37th Street,839.2059573326999,s12
n00280,East 37th Street,859.2054805492276,s12
n00281,East 37th Street,879.2050037652115,s12
n00282,East 37th Street,899.2045438955797,s12
n00283,East 37th Street,919.2045235357502,s12
n00284,East 38th Street,0.0,s13
n00285,East 38th Street,19.998230545167303,s13
n00286,East 38th Street,39.9969554832515,s13
n00287,East 38th Street,59.99668856788384,s13
n00288,East 38th Street,79.99642165251618,s13
n00289,East 38th Street,99.99615473714846,s13
n00290,East 38th Street,119.99588782167837,s13
n00291,East 38th Street,139.99562090586824,s13
n00292,East 38th Street,159.9922782923138,s13
n00293,East 38th Street,179.98795602084692,s13
n00294,East 38th Street,199.98567149052803,s13
n00295,East 38th Street,219.98565788038954,s13
n00296,East 38th Street,239.98564426991098,s13
n00297,East 38th Street,259.9856309124979,s13
n00298,East 38th Street,279.98561988874644,s13
n00299,East 38th Street,299.9856088646549,s13
n00300,East 38th Street,319.98560189126977,s13
n00301,East 38th Street,339.98560013176393,s13
n00302,East 38th Street,359.9855949712048,s13
n00303,East 38th Street,379.9855898103056,s13
n00304,East 38th Street,399.98558464930403,s13
n00305,East 38th Street,419.9855794884049,s13
n00306,East 38th Street,439.9855749108353,s13
n00307,East 38th Street,459.98557146482193,s13
n00308,East 38th Street,499.9853966232964,s13
n00309,East 38th Street,519.9850843838057,s13
n00310,East 38th Street,539.9847721443148,s13
n00311,East 38th Street,559.9845401136458,s13
n00312,East 38th Street,579.9845140596374,s13
n00313,East 38th Street,599.9844790776845,s13
n00314,East 38th Street,619.9844546212429,s13
n00315,East 38th Street,639.9844308067891,s13
n00316,East 38th Street,659.9844054885488,s13
n00317,East 38th Street,679.9842911950055,s13
n00318,East 38th Street,719.983750707135,s13
n00319,East 38th Street,739.983544243116,s13
n00320,East 38th Street,759.9833377786545,s13
n00321,East 38th Street,779.9831442926318,s13
n00322,East 38th Street,799.9827955613318,s13
n00323,East 38th Street,819.9826022859411,s13
n00324,East 38th Street,839.9824204219151,s13
n00325,East 38th Street,859.9822385577867,s13
n00326,East 38th Street,879.9820518270753,s13
n00327,East 38th Street,899.9818487736147,s13
n00329,East 39th Street,0.0,s14
n00330,East 39th Street,19.99998186902434,s14
n00331,East 39th Street,39.9999648399272,s14
n00332,East 39th Street,59.99995488257275,s14
n00333,East 39th Street,79.99994271665958,s14
n00334,East 39th Street,99.99993055064391,s14
n00335,East 39th Street,119.99991722311199,s14
n00336,East 39th Street,139.99989668698822,s14
n00337,East 39th Street,159.999896005501,s14
n00338,East 39th Street,179.9998953236746,s14
