node_id,street_axis_deg,GVI,VEI,osm_name,typology,northing_m,lat,lon,chain,chain_pos_m,street_segment,cross_dist,along_dist,mapping_id,scaffold_frac,SVF_band,BVF_band,sky_of_pair,sky_veg_residual,face_id,H_m,facade_sides_hit,facade_sides_open,facade_empty_bearing,W_facade,HW_facade,HW_assigned,HW_effective,HW_source,HW_ratio,is_tunnel,is_bridge,osm_heading_fwd,osm_heading_rev
n00027,22.88284395042254,0.0948283243357292,0.531274004450575,1st Avenue,avenue_secondary,487.6713555856977,40.747503,-73.970821,1st_avenue,500.20926171074416,1st_avenue,462.1613362446329,144.01179057882746,1st_avenue_028,0.0826486609876155,0.2356613228703191,0.2671085791789258,0.4687259955494249,0.2330646726791057,f1,114.66576,1,1,112.88284395042254,,,6.265888524590164,0.5367320941078925,series,,0.0,0.0,28.7,208.7
n00028,23.201443657806152,0.0,0.5591901705487159,1st Avenue,avenue_secondary,505.3004073025863,40.74767899999999,-73.970806,1st_avenue,519.7888901955499,1st_avenue,453.7931419503383,161.71988670977152,1st_avenue_029,0.0147331794723868,0.2254857028943342,0.2860403290342566,0.4408098294512841,0.2153241265569499,f1,114.66576,1,1,113.20144365780617,,,6.265888524590164,0.5367320941078925,series,,1.0,0.0,220.3,40.3
n00029,23.775849896492616,0.0,0.5591901705487159,1st Avenue,avenue_secondary,507.5669891348202,40.747661,-73.970708,1st_avenue,528.3008423312872,1st_avenue,461.9967709041789,163.9817784285747,1st_avenue_030,0.0147331794723868,0.2254857028943342,0.2860403290342566,0.4408098294512841,0.2153241265569499,f1,114.66576,1,1,113.77584989649262,,,6.265888524590164,,open_one_side,,0.0,0.0,30.0,210.0
n00030,22.999800905247277,0.0,0.5776011699830677,1st Avenue,avenue_secondary,525.2518352920031,40.747838,-73.970694,1st_avenue,547.9860053584366,1st_avenue,453.5009165645059,181.74608111173984,1st_avenue_031,0.0,0.2184809870149318,0.2987576308244542,0.4223988300169323,0.2039178430020004,f1,89.42832,1,1,112.99980090524728,,,4.886793442622951,,open_one_side,,0.0,0.0,25.1,205.1
n00031,27.23259922955256,0.1900392824759325,0.5824531313236516,1st Avenue,avenue_secondary,527.4736918676457,40.747817,-73.97059000000002,1st_avenue,557.0708510267007,1st_avenue,462.3089912097901,183.96211353667456,1st_avenue_032,0.0,0.2148774121172894,0.299741252844719,0.4175468686763484,0.2026694565590589,f1,89.42832,1,1,117.23259922955256,,,4.886793442622951,,open_one_side,,0.0,0.0,41.5,221.5
n00032,20.424749644530824,0.1830114753980002,0.5892452867565141,1st Avenue,avenue_secondary,545.1214912370617,40.747997,-73.970584,1st_avenue,590.3227504269286,1st_avenue,453.0610474749124,201.6904352714212,1st_avenue_033,4.640689257939812e-05,0.2126209588948359,0.3050139021050405,0.4107547132434859,0.1981337543486499,f1,89.42832,1,1,110.42474964453082,,,4.886793442622951,,open_one_side,,0.0,0.0,28.8,208.8
n00033,30.79569826348873,0.3003105943431805,0.5655319375816512,1st Avenue,avenue_secondary,546.9744765856215,40.747954,-73.970437,1st_avenue,577.0253133786227,1st_avenue,466.2279020036689,203.5292460931581,1st_avenue_034,0.0814340123906731,0.2165813440043323,0.2819163885995119,0.4344680624183488,0.2178867184140164,f1,89.42832,1,1,120.79569826348872,,,4.886793442622951,,open_one_side,,0.0,0.0,49.4,229.4
n00034,11.970121691088536,1.301109388256753,0.583737671518041,1st Avenue,avenue_secondary,564.9319620229313,40.74816299999999,-73.970492,1st_avenue,610.3213043290364,1st_avenue,450.9155177000816,221.5781139671417,1st_avenue_035,0.0102660119591746,0.2089958859549019,0.2930814620411945,0.416262328481959,0.207266442527057,f1,83.838288,1,1,101.97012169108854,,,4.581327213114754,,open_one_side,,0.0,0.0,27.3,207.3
n00035,57.67926919037855,0.9253365954702168,0.5539720459261379,1st Avenue,avenue_secondary,565.6195970456481,40.74807200000001,-73.97026,1st_avenue,829.3883030979122,1st_avenue,472.941462918128,222.2330547711691,1st_avenue_036,0.0448169543142284,0.2202535327327486,0.2735575181689505,0.4460279540738621,0.2257744213411134,f1,89.42832,0,1,147.67926919037853,,,4.886793442622951,0.5367320941078925,series,,0.0,0.0,38.1,218.1
n00036,179.78773436081417,1.363471391343525,0.596876532546461,1st Avenue,avenue_secondary,584.7794795973607,40.74832599999999,-73.970392,1st_avenue,630.289445991196,1st_avenue,449.5220773183576,241.50177361011788,1st_avenue_037,0.0405212882906198,0.1928875061203008,0.2855949482471855,0.403123467453539,0.2102359613332381,f1,83.838288,1,0,,,,4.581327213114754,0.5367320941078925,series,,0.0,0.0,29.2,209.2
