node_id,eye_green,hard_barrier,soft_buffer,shelter,rest,building,sky,sidewalk,road,vehicle,person,canopy_green,affordance
n00011,0.002155607340981264,0.012428332958721608,0.0,0.0,0.0,0.3400654679384224,0.11870694369730596,0.022474183847540217,0.39854496210739004,0.047047269276147795,0.004488361927750952,0.04905293915579336,0.0
n00012,0.000143271669514971,0.0,0.0,2.5927395041784872e-05,0.0,0.3033023969638969,0.15138831584161064,0.013789424238194176,0.3555327370887548,0.1211405086944977,0.0016795791725765347,0.05035266320802006,2.5927395041784872e-05
n00013,0.0022263430350021726,0.009696419407649636,0.0,0.0,0.001913107463103225,0.34721727087593085,0.08403822899405188,0.023248676175972618,0.4033856893864919,0.03577364905527264,3.908396446977561e-05,0.09095719518577562,0.001913107463103225
n00014,0.0063355922319796995,0.01030026354863142,0.0,0.00016008070601184997,0.003743214483742638,0.32509391766586077,0.07464103999433072,0.03168545309661273,0.42010627216271507,0.0027895008786653166,0.0012830169417838726,0.12176443970943883,0.003903295189754488
n00015,0.003625539201640112,0.014666359102413061,0.0,0.0,0.0,0.3747383956558016,0.09054578076321818,0.03642448450402908,0.41390926345103535,0.0022393529260043834,0.0014522139370189908,0.05762837888410693,0.0
n00016,1.1174288691786817e-05,0.013256684703349156,0.0,0.0,0.0,0.2756295224544935,0.21744077065793033,0.02145019852354022,0.4418884068047055,0.012804241341048241,0.00036055952318546933,0.005061351655103201,0.0
n00017,0.0,0.061519514972075195,0.0,0.0,0.0,0.2650390899918632,0.23202515137034282,0.0222816451703458,0.40202055348127125,0.007781698564667992,0.001518873538024069,0.0,0.0
n00018,0.0,0.1079910919201371,0.0,0.0,0.0,0.2875882580365265,0.23563201981689474,0.016231160180615097,0.3277487863389742,0.0075301386832576376,0.0006200266722818765,0.0,0.0
n00019,0.0,0.029497224874982287,0.0,0.0,0.0,0.40054234476054446,0.23180714627809124,0.01121757758918429,0.2117364272510252,0.009345704813898247,0.0,0.0,0.0
n00020,0.0,0.019146311859298392,0.0,0.0,0.0,0.23853364383128933,0.24877694682234117,0.023256910289264122,0.43194962786135566,0.023348382887259142,3.275872934582075e-06,4.9684588178683154e-05,0.0
