node_id,scaffold_frac
n00355,0.041322311386466026
n00356,0.06647686706855893
n00357,0.046806396916508675
n00358,0.049693714041495696
n00359,0.015247690957039595
n00360,0.013232017692644149
n00361,0.10556559776887298
n00362,0.10802717658225447
n00363,0.059646980836987495
n00364,0.02983559761196375
n00365,0.04037399700791866
n00366,4.035382062284043e-06
n00367,0.00010895531886490062
n00368,0.003064872696995735
n00369,0.002445441437885165
n00370,0.018064387259073555
n00371,0.0010572700994089246
n00372,0.01678517193067819
n00373,0.005877533927559853
n00374,0.0
n00375,0.0
n00376,0.10853160172700882
n00377,0.002092345617711544
n00378,0.06261702533811331
n00379,0.012735666008666158
n00380,0.01576421968638897
n00381,0.002800555123940285
n00382,0.0009261201898880245
n00383,0.07499959249980748
n00384,0.07270345999859273
n00385,0.007283864641067339
n00386,0.003670179892651504
n00387,0.011032734997570515
n00388,0.13755406509153545
n00389,0.14535244612488896
n00390,0.15776124325202545
n00391,0.23464132472872734
n00392,0.14837494678795338
n00393,0.04440736095421016
n00394,0.04711106652393937
n00395,0.01936378050595522
n00396,0.013677927083335817
n00397,0.023933851160109043
n00398,0.026431752368807793
n00399,0.01926289696712047
n00400,0.011206256109289825
n00401,0.08135330211371183
n00402,0.06901915650814772
n00403,0.04477054625749588
n00404,0.02258603274822235
n00405,0.043186659284401685
n00406,0.006813742686063051
n00407,0.0031092618592083454
n00408,0.12602498568594456
n00409,0.2664340864866972
n00410,0.20604459010064602
n00411,0.022136088366096374
n00412,0.0
n00413,0.0
n00414,0.040099592646583915
n00415,0.0051794127793982625
n00416,0.014271128922700882
n00417,0.014491057023406029
n00418,0.05090634344378486
n00419,0.10624959133565426
n00420,0.006162028410471976
n00421,0.09968604287132621
n00422,0.0061156213050708175
n00423,0.09669986148219323
n00424,0.0
n00425,0.041511974297463894
n00426,0.12700558453798294
n00427,4.035382062284043e-06
n00428,0.06437846831977367
n00429,0.23112650052644312
n00430,0.12254446547012776
n00431,0.03157484740950167
n00432,0.004309787960664835
n00434,0.2281261959578842
n00435,0.08278788154711947
n00436,0.04523461579810828
n00437,0.09544889535754919
