node_id,osm_name,dob_nearest_m,dob_n_within,dob_shed,dob_any,dob_types
n00140,Park Avenue,14.7,1,False,True,Suspended Scaffold
n00141,Park Avenue,12.0,1,False,True,Suspended Scaffold
n00142,Park Avenue,24.9,1,False,True,Suspended Scaffold
n00143,Park Avenue,25.6,2,False,True,Suspended Scaffold
n00144,Park Avenue,6.8,2,False,True,Suspended Scaffold
n00145,Park Avenue,26.7,2,False,True,Suspended Scaffold
n00146,Park Avenue,46.6,0,False,False,
n00147,Park Avenue,66.7,0,False,False,
n00148,Park Avenue,86.2,0,False,False,
n00149,Park Avenue,101.5,0,False,False,
n00150,Park Avenue,91.6,0,False,False,
n00151,Park Avenue,75.0,0,False,False,
n00208,Park Avenue,79.5,0,False,False,
n00207,Park Avenue,76.1,0,False,False,
n00206,Park Avenue,93.9,0,False,False,
n00205,Park Avenue,90.7,0,False,False,
n00204,Park Avenue,74.0,0,False,False,
n00203,Park Avenue,70.7,0,False,False,
n00202,Park Avenue,53.9,0,False,False,
n00201,Park Avenue,50.7,0,False,False,
n00200,Park Avenue,34.0,0,False,False,
n00199,Park Avenue,30.8,0,False,False,
n00198,Park Avenue,10.8,2,False,True,Supported Scaffold
n00197,Park Avenue,77.0,0,False,False,
n00195,Park Avenue,94.8,0,False,False,
n00193,Park Avenue,86.5,0,False,False,
n00191,Park Avenue,82.2,0,False,False,
n00189,Park Avenue,82.8,0,False,False,
n00187,Park Avenue,71.2,0,False,False,
n00185,Park Avenue,56.6,0,False,False,
n00183,Park Avenue,46.1,0,False,False,
n00181,Park Avenue,42.9,0,False,False,
n00179,Park Avenue,48.7,0,False,False,
n00177,Park Avenue,60.6,0,False,False,
n00175,Park Avenue,70.8,0,False,False,
n00169,Park Avenue,95.2,0,False,False,
n00167,Park Avenue,112.8,0,False,False,
n00165,Park Avenue,122.5,0,False,False,
n00163,Park Avenue,102.9,0,False,False,
n00161,Park Avenue,83.6,0,False,False,
n00159,Park Avenue,64.7,0,False,False,
n00157,Park Avenue,46.9,0,False,False,
n00155,Park Avenue,31.4,0,False,False,
n00153,Park Avenue,23.0,2,False,True,Construction Fence
n00154,Park Avenue,8.2,2,True,True,Sidewalk Shed|Suspended Scaffold
n00156,Park Avenue,11.8,2,True,True,Sidewalk Shed|Suspended Scaffold
n00158,Park Avenue,31.8,0,False,False,
n00160,Park Avenue,46.1,0,False,False,
n00162,Park Avenue,26.1,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00164,Park Avenue,6.5,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00166,Park Avenue,14.2,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00168,Park Avenue,34.0,0,False,False,
n00170,Park Avenue,54.1,0,False,False,
n00171,Park Avenue,73.7,0,False,False,
n00172,Park Avenue,59.8,0,False,False,
n00173,Park Avenue,50.2,0,False,False,
n00174,Park Avenue,47.7,0,False,False,
n00176,Park Avenue,53.1,0,False,False,
n00178,Park Avenue,55.0,0,False,False,
n00180,Park Avenue,44.1,0,False,False,
n00182,Park Avenue,38.5,0,False,False,
n00184,Park Avenue,40.4,0,False,False,
n00186,Park Avenue,22.1,10,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00188,Park Avenue,2.7,10,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
