node_id,osm_name,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,in_study,in_cleaned,cleaned_street,cleaned_direction,cleaned_id,street_segment,cross_dist,along_dist,mapping_id,is_tunnel,is_bridge,osm_heading_fwd,osm_heading_rev,usable,exclude_reason
n00556,East 40th Street,east_40th_street,759.9877598188201,40.750967,-73.978852,mid_block,494.21683481677,140.9813997229012,True,True,east_40th_street,Eastbound,east_40th_street_008,east_40th_street,-317.1974576054776,151.82909474308408,east_40th_street_008,0.0,0.0,298.5,118.5,True,
n00555,East 40th Street,east_40th_street,779.9756994040431,40.75105299999999,-73.97906,mid_block,494.0270620101023,121.03043622829853,True,True,east_40th_street,Eastbound,east_40th_street_007,east_40th_street,-337.18248741418427,151.6706034719939,east_40th_street_007,0.0,0.0,298.5,118.5,True,
n00554,East 40th Street,east_40th_street,799.9636184333066,40.751139,-73.979268,mid_block,493.8372892061825,101.07947273217276,True,True,east_40th_street,Eastbound,east_40th_street_006,east_40th_street,-357.16751722327353,151.51211220159394,east_40th_street_006,0.0,0.0,298.5,118.5,True,
n00553,East 40th Street,east_40th_street,819.9515169023139,40.751225,-73.979476,mid_block,493.6475164002017,81.12850923718929,True,True,east_40th_street,Eastbound,east_40th_street_005,east_40th_street,-377.1525470319801,151.35362093050378,east_40th_street_005,0.0,0.0,298.5,118.5,True,
n00552,East 40th Street,east_40th_street,839.9393948124915,40.75131099999999,-73.979684,mid_block,493.457743593534,61.17754574258663,True,True,east_40th_street,Eastbound,east_40th_street_004,east_40th_street,-397.1375768410694,151.19512966010376,east_40th_street_004,0.0,0.0,298.5,118.5,True,
n00551,East 40th Street,east_40th_street,859.9805160228545,40.751398,-73.979892,mid_block,493.3646512517972,41.17299139117404,True,True,east_40th_street,Eastbound,east_40th_street_003,east_40th_street,-417.1764448436071,151.13376506174237,east_40th_street_003,0.0,0.0,298.5,118.5,True,
n00550,East 40th Street,east_40th_street,879.9683525863891,40.75148399999999,-73.9801,mid_block,493.17487844571065,21.222027897619625,True,True,east_40th_street,Eastbound,east_40th_street_002,east_40th_street,-437.1614746512647,150.97527379123372,east_40th_street_002,0.0,0.0,296.5,116.5,True,
n00549,East 40th Street,east_40th_street,899.9486417198196,40.751564000000016,-73.980312,mid_block,492.2414787798696,1.297568188506034,True,True,east_40th_street,Eastbound,east_40th_street_001,east_40th_street,-457.1187627061363,150.07034200460953,east_40th_street_001,0.0,0.0,299.1,119.1,True,
n00640,East 41st Street,east_41st_street,0.0,40.74805400000001,-73.97007200000002,mid_block,571.5659208558882,944.7073133700352,True,True,east_41st_street,Eastbound,east_41st_street_046,east_41st_street,487.7890585280136,228.1777573449684,east_41st_street_046,0.0,0.0,298.7,118.7,True,
n00639,East 41st Street,east_41st_street#1,0.0,40.748341,-73.970761,mid_block,571.1427444195533,878.5058662268178,True,True,east_41st_street,Eastbound,east_41st_street_045,east_41st_street,421.4742411251805,227.859149189703,east_41st_street_045,0.0,0.0,298.8,118.8,True,
n00638,East 41st Street,east_41st_street#1,20.02183176955348,40.748429,-73.970968,mid_block,571.1872185605143,858.5214813568903,True,True,east_41st_street,Eastbound,east_41st_street_044,east_41st_street,401.45535678074174,227.93583138388792,east_41st_street_044,0.0,0.0,32.4,212.4,True,
