node_id,green_eye,green_canopy,green_ground,articulation,barrier,walkable,affordance,VEI,green_eye_n,articulation_n,barrier_n,affordance_n,enclosure,openness,G,M,P,SIM
n00301,0.0,0.013423734713061445,0.0,0.0,0.0028772649067090443,0.009076979611792177,0.0,0.5327374265646556,0.0,0.0,0.2801301967107114,0.0,0.9957130436076951,0.7198698032892886,0.0,0.5782526682654002,0.004538489805896088,0.19232108216352778
n00302,0.0016357268257088018,0.07315543985177422,0.003681750422777425,0.001015390318680325,0.00826639449122249,0.10436418689856908,0.0,0.6422280927065676,0.3882531103459733,0.21890125509358638,0.6110533808338373,0.0,0.9190846785802081,0.3889466191661627,0.23442456637669495,0.5414859655063792,0.05218209344928454,0.27561481202344534
n00303,0.0021731924522145406,0.0650930166504573,0.005588393546086044,0.0030024279066741405,0.00010585955825768595,0.030056416836570423,0.0018633938128855912,0.8284836111944266,0.4794724540679721,0.5183405874532377,0.012020061966250495,0.3360019418513329,0.5683940687066751,0.9879799380337495,0.28991882985921763,0.6557718175997407,0.18302917934395166,0.3753767311435525
n00304,0.001511608987304743,0.03827797978284961,0.0035748559913281203,0.0051455618989917525,0.0,0.06475290898943369,0.0,0.8113809464887628,0.3650104783755347,0.7140567823580131,0.0,0.0,0.6121676246550489,1.0,0.22043622942185204,0.7447869236873241,0.03237645449471684,0.33141223280350324
n00305,0.00024319792198816185,0.006292620738344807,0.0005733498156694351,0.0020679048688310394,0.00015507821138009128,0.058675754974692795,0.0,0.7528957851840351,0.07046072533030834,0.3953709017461685,0.017559394433479758,0.0,0.7441748873446015,0.9824406055665202,0.04250577512445278,0.6816599219406296,0.029337877487346398,0.24908123735354606
n00306,0.00023414895131519908,0.03980761634770497,0.0006496962129008742,0.0005634549793089421,0.0,0.0485146477390188,0.0017383380532970478,0.8718696368916486,0.06793017962866355,0.12811149382074027,0.0,0.3175017859367064,0.4468518926322935,1.0,0.041017986262358475,0.4735797798901765,0.18300821683786261,0.2306201542494548
n00307,0.00043699982651612603,0.057177344114022595,0.0011325598772069516,0.0029479767119720826,0.00295829141062916,0.025268078452636674,0.0,0.8871738364318883,0.12303827640509557,0.5119168784416095,0.286762625495802,0.0,0.4003856815304536,0.713237374504198,0.07427598979394012,0.5176345236927943,0.012634039226318337,0.20024246229324683
n00308,0.0005248705747374497,0.04104320128155118,0.0012638783375051403,0.0009516872685249695,0.0,0.05460706721788971,0.00039463024809607074,0.9049412021421128,0.14588698716695025,0.20670027988256345,0.0,0.08306527635503946,0.3440904912308021,1.0,0.08803774363517221,0.45998129445121805,0.06883617178646459,0.20444259669439382
n00309,0.0012469795682584176,0.020326686019474096,0.002766754220729922,0.0009057040482665402,0.0,0.09136141131463145,0.0006592931380999948,0.9162392323601883,0.3124644199338519,0.19777489873949639,0.0,0.1348721602036348,0.30697960577680455,1.0,0.1885853536486031,0.44201305686954556,0.11311678575913311,0.247311868307989
n00310,0.001120135770096099,0.032987414466729925,0.0025789269404828145,0.002165431142698454,0.0037873455700387373,0.08735185115198472,0.0022013310499143257,0.8916382475992348,0.28575756756046566,0.4095492787884376,0.35121127356672954,0.38352462650767283,0.38647793206960174,0.6487887264332705,0.17248611131247252,0.46013060201211153,0.23543823882982878,0.288182995324081
