node_id,GVI_E_east,GVI_N_uptown,GVI_S_downtown,GVI_W_west,GVI_full360,VEI_E_east,VEI_N_uptown,VEI_S_downtown,VEI_W_west,VEI_full360,osm_name,typology,northing_m,lat,lon
n00630,1.0176612502927194,0.6048646750076537,0.5200211873885433,0.10722461210347758,0.5624429311980986,0.8912336963798773,0.8699324136117945,0.8776902995207744,0.856512281597245,0.8738359479468396,East 41st Street,mid_block,571.3905367889481,40.749131000000006,-73.972623
n00631,1.7735089877201933,1.8602150613057393,2.724969045077041,2.811675118662588,2.2925920531913904,0.9158579780735291,0.9333238334284837,0.948656217125783,0.9632139315387347,0.9407573041361088,East 41st Street,mid_block,571.4427431089022,40.749044,-73.97241600000001
n00632,2.418209632797981,1.0256391568801317,4.261106171540751,2.868535695622902,2.643372664210442,0.9130007285206252,0.9305534549140667,0.9500767327520513,0.9643689276669937,0.9399143087520485,East 41st Street,mid_block,571.3982689679411,40.748956,-73.972209
n00633,4.43300771885903,7.682224454189042,1.7958611730711032,5.045077908401114,4.739042813630073,0.9146525235273131,0.9231117047272134,0.9511081050504062,0.9590409079820643,0.9373423554282768,East 41st Street,mid_block,571.35379482698,40.748868,-73.972002
n00634,6.06849279365544,11.034561235546986,1.6457756584160383,6.611844100307582,6.3401684469815125,0.9029947590285551,0.8998024429263103,0.94963596125209,0.9487085863190159,0.9267469407693322,East 41st Street,mid_block,571.3093206839582,40.74877999999998,-73.971795
n00635,4.306678133345004,5.2754759620658405,5.9774254658310575,6.946223294551894,5.626450713948449,0.9291739455602486,0.9351419968603109,0.9355073365818126,0.9412191318323756,0.9353222221081946,East 41st Street,mid_block,571.3615270065541,40.748692999999996,-73.971588
n00636,4.294457626361576,5.982624871254303,2.6853751913651074,4.373542436257835,4.3340000313097065,0.9255803860651788,0.9300000975915642,0.9285821366993879,0.9326728610530339,0.9292662984337013,East 41st Street,mid_block,571.317052865593,40.748605,-73.971381
n00637,6.169166934261593,6.081188117442204,4.427023076888051,4.339044260068663,5.254105597165128,0.865674764997582,0.7373274952216587,0.9122960381515257,0.7935027872395379,0.8283909891713649,East 41st Street,mid_block,571.272578724051,40.748517,-73.971174
n00638,3.2018892597386226,7.304689086006029,2.0924290514020507,6.1952288776694555,4.69855906870404,0.8460351139861603,0.7312378599703419,0.8418106266295421,0.7291628717040758,0.7881987718059493,East 41st Street,mid_block,571.1872185605143,40.748428999999994,-73.970968
n00639,1.3128052215524102,6.356519437882748,0.396043838627103,5.4397580549574425,3.3762816382549263,0.7702989596151968,0.7560569777643996,0.8521945176707347,0.8432569840962509,0.8043507411539416,East 41st Street,mid_block,571.1427444195533,40.748340999999996,-73.970761
n00640,21.00425474773665,16.87230681555826,6.744048601478464,2.6121006693000703,11.808177708518363,0.23250117168268566,0.6887384120318981,0.4856105365481693,0.7797975934744511,0.5712984373451137,East 41st Street,mid_block,571.5659208558882,40.74805400000001,-73.97007200000002
n00641,0.05616812226176734,0.11761089984573252,0.0020991270054598124,0.06354190458942499,0.05985501342559617,0.8781812102860848,0.9160271097990155,0.8477706446950806,0.885892898787983,0.8819171078303226,East 42nd Street,mid_block,655.0130925985368,40.752856,-73.979386
n00642,0.0,0.20877223941291426,0.0,0.20877223941291426,0.10438611970645713,0.9396113056414233,0.8812433844777459,0.9038760241287211,0.8427751529336731,0.8925224361576712,East 42nd Street,mid_block,654.6934854880585,40.752765999999994,-73.979181
n00643,0.0,0.0,0.0,0.0,0.0,0.9221734956273596,0.9270892746768642,0.9365831069669733,0.9414093506182423,0.9317440206013374,East 42nd Street,mid_block,654.7865778311691,40.75267899999999,-73.978973
n00644,0.031003553396992976,0.03100355339699298,0.076334274436063,0.07633427443606301,0.053668913916528,0.8661253351013456,0.8691317609051924,0.9448319939706036,0.9489998642352637,0.9068855722211548,East 42nd Street,mid_block,653.8200243196848,40.752583999999985,-73.978772
n00645,0.0,0.007706723959215732,0.0,0.007706723959215732,0.003853361979607866,0.8542533828557862,0.8619838302616927,0.945927107305631,0.9531751058378697,0.9037167001225817,East 42nd Street,mid_block,652.8943568327309,40.752489,-73.97857
n00646,0.0,0.21814073223695413,0.0,0.21814073223695413,0.10907036611847706,0.8891291209404678,0.8911275908683864,0.9436438199562656,0.9460960694781345,0.917339901475337,East 42nd Street,mid_block,653.0841296380247,40.752402999999994,-73.978362
n00647,0.0,0.11367467169905739,0.0,0.11367467169905739,0.05683733584952869,0.9269742440366814,0.9170871393437334,0.9396987344431261,0.9291317923643028,0.9280481337157487,East 42nd Street,mid_block,653.1363359599336,40.752316,-73.978155
n00648,0.0,0.0,0.0018839290095867941,0.0018839290095867944,0.0009419645047933972,0.9322792345482753,0.9450100531782816,0.942802400795497,0.9551490564021499,0.9439271289513315,East 42nd Street,mid_block,653.2294283023573,40.75222899999999,-73.977947
n00649,0.21613839994886955,0.014041845248514697,0.2646657185583055,0.06256916385795072,0.13935378190341016,0.9222652825998892,0.9778613501872336,0.8621910922119752,0.9356316360143316,0.9296978893465319,East 42nd Street,mid_block,653.4192011076511,40.75214299999999,-73.977739
