node_id,osm_name,d
n00091,3rd Avenue,393.77781810222285
n00092,3rd Avenue,403.88514476400485
n00093,3rd Avenue,384.0028065896138
n00094,3rd Avenue,364.1941151316608
n00095,3rd Avenue,344.4839418152273
n00096,3rd Avenue,324.7751889839088
n00097,3rd Avenue,305.0524972378455
n00098,3rd Avenue,285.34329358321656
n00099,3rd Avenue,265.7908679468894
n00100,3rd Avenue,246.3024099944813
n00101,3rd Avenue,226.787245060258
n00102,3rd Avenue,207.39400805219228
n00103,3rd Avenue,188.1115036740269
n00104,3rd Avenue,169.1316284757783
n00105,3rd Avenue,150.35784625810163
n00106,3rd Avenue,131.968805441898
n00107,3rd Avenue,113.99482677226945
n00108,3rd Avenue,96.94925647677968
n00109,3rd Avenue,80.9834450329081
n00110,3rd Avenue,67.55751501077918
n00111,3rd Avenue,58.0439324335169
n00112,3rd Avenue,54.45667380782851
n00113,3rd Avenue,57.93114260484584
n00114,Park Avenue,39.752555931413085
n00115,Park Avenue,59.32453203201441
n00116,Park Avenue,79.20578958690827
n00117,Park Avenue,99.2166105377123
n00118,Park Avenue,119.14056531341606
n00119,Park Avenue,139.17146140372117
n00120,Park Avenue,159.10785680216375
n00121,Park Avenue,179.10755803201542
n00122,Park Avenue,199.06999093241276
n00123,Park Avenue,219.0722280678997
n00124,Park Avenue,239.11447312505103
n00125,Park Avenue,259.05937683952817
n00126,Park Avenue,279.10334335710803
n00127,Park Avenue,299.1083720963908
n00128,Park Avenue,319.0552136723001
n00129,Park Avenue,308.4698339486549
n00130,Park Avenue,288.49343103744934
n00131,Park Avenue,268.5194164182011
n00132,Park Avenue,248.54406093459116
n00133,Park Avenue,228.62281090733225
n00134,Park Avenue,208.6595138163028
n00135,Park Avenue,188.61410728236908
n00136,Park Avenue,168.7150557961833
n00137,Park Avenue,148.77911505175615
n00138,Park Avenue,129.60362158397675
n00139,Park Avenue,113.23210981906001
n00140,Park Avenue,111.20082745331132
n00141,Park Avenue,93.34850981303602
n00142,Park Avenue,73.5395867460614
n00143,Park Avenue,53.87751546955602
n00144,Park Avenue,31.539440773048266
n00145,Park Avenue,22.5230525430025
n00146,Park Avenue,25.01364721377242
n00147,Park Avenue,26.391862985406974
n00148,Park Avenue,6.814712919900693
n00149,Park Avenue,13.044417966790167
n00150,Park Avenue,17.621644941686245
n00151,Park Avenue,9.63673191271312
n00152,Park Avenue,43.02038115896332
n00153,Park Avenue,564.8035818690878
n00154,Park Avenue,62.18777271296164
n00155,Park Avenue,566.9547680474382
n00156,Park Avenue,81.67331473799393
n00157,Park Avenue,570.6535063870449
n00158,Park Avenue,101.4442950093454
n00159,Park Avenue,575.4845539818051
n00160,Park Avenue,121.23473087341276
n00161,Park Avenue,580.9395521304375
n00162,Park Avenue,141.1515425117104
n00163,Park Avenue,587.0488586904005
n00164,Park Avenue,160.99927897469874
n00165,Park Avenue,593.4854188705534
n00166,Park Avenue,180.97100505632795
n00167,Park Avenue,588.0274246623712
n00168,Park Avenue,200.85713001554018
n00169,Park Avenue,571.6283798859185
n00170,Park Avenue,220.85551255987156
n00171,Park Avenue,240.76192935338463
