node_id,heading,path,pano_date,on_target
n00034,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00034_180.jpg,2022-07,False
n00034,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00034_270.jpg,2022-07,False
n00035,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00035_000.jpg,2022-07,False
n00035,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00035_090.jpg,2022-07,False
n00035,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00035_180.jpg,2022-07,False
n00035,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00035_270.jpg,2022-07,False
n00036,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00036_000.jpg,2022-07,False
n00036,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00036_090.jpg,2022-07,False
n00036,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00036_180.jpg,2022-07,False
n00036,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00036_270.jpg,2022-07,False
n00037,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00037_000.jpg,2022-07,False
n00037,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00037_090.jpg,2022-07,False
n00037,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00037_180.jpg,2022-07,False
n00037,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00037_270.jpg,2022-07,False
n00038,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00038_000.jpg,2024-09,False
n00038,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00038_090.jpg,2024-09,False
n00038,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00038_180.jpg,2024-09,False
n00038,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00038_270.jpg,2024-09,False
n00039,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00039_000.jpg,2024-09,False
n00039,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00039_090.jpg,2024-09,False
n00039,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00039_180.jpg,2024-09,False
n00039,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00039_270.jpg,2024-09,False
n00040,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00040_000.jpg,2024-09,False
n00040,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00040_090.jpg,2024-09,False
n00040,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00040_180.jpg,2024-09,False
n00040,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00040_270.jpg,2024-09,False
n00041,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00041_000.jpg,2024-09,False
n00041,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00041_090.jpg,2024-09,False
n00041,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00041_180.jpg,2024-09,False
n00041,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00041_270.jpg,2024-09,False
n00042,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00042_000.jpg,2024-09,False
