node_id,osm_name,street_category,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,along_dist,cross_dist,n_images,directions,name_resolved,excluded_by_pattern,collides_m,intersection_dup,axis_mismatch,frame_ok,nearest_img_m,nearest_img_node,reusable
2nd_avenue_024,2nd Avenue,2nd_avenue,2nd_avenue#0,458.3393080808316,40.7484,-73.973255,avenue_secondary,474.877152855801,691.3857272835369,131.534842050002,234.18608948028896,2,Northbound/Southbound,True,False,20.787137620562234,False,False,True,2.82161630193066,n00064,True
2nd_avenue_025,2nd Avenue,2nd_avenue,2nd_avenue#0,478.3167193679665,40.748558,-73.97314,avenue_secondary,494.8545584487007,691.4008107886643,151.5866701414548,234.1691678425471,2,Northbound/Southbound,True,False,8.651700155060704,False,False,True,2.77360122868294,n00063,True
2nd_avenue_026,2nd Avenue,2nd_avenue,2nd_avenue#0,498.25332528643605,40.748716,-73.973026,avenue_secondary,514.7910780190248,691.3421339581624,171.59757811170974,234.0784243536404,2,Northbound/Southbound,True,False,22.701202437868883,False,False,True,2.7659131816141453,n00062,True
2nd_avenue_027,2nd Avenue,2nd_avenue,2nd_avenue#0,518.1899312054835,40.748874,-73.972912,avenue_secondary,534.7275975899299,691.2834571287087,191.6084860825462,233.9876808657828,2,Northbound/Southbound,True,False,37.4310211798104,False,False,True,2.758428873444452,n00061,True
2nd_avenue_028,2nd Avenue,2nd_avenue,2nd_avenue#0,538.1265371239531,40.749032,-73.972798,avenue_secondary,554.6641171602541,691.2247802982068,211.61939405280117,233.89693737687608,2,Northbound/Southbound,True,False,18.37313514925977,False,False,True,2.751296043260843,n00060,True
2nd_avenue_029,2nd Avenue,2nd_avenue,2nd_avenue#0,558.0486574561639,40.749189,-73.972682,avenue_secondary,574.5857283121725,691.367214995012,231.61501559203293,234.0076757845126,2,Northbound/Southbound,True,False,8.11558872122936,False,False,True,2.7585679100080043,n00059,True
2nd_avenue_030,2nd Avenue,2nd_avenue,2nd_avenue#0,577.9163059844074,40.749345,-73.972565,avenue_secondary,594.4515450236903,691.6370008845431,251.5544305796251,234.24607423857643,2,Northbound/Southbound,True,False,24.15597527178974,False,False,True,2.821232222030192,n00058,True
2nd_avenue_031,2nd Avenue,2nd_avenue,2nd_avenue#0,597.8799738270187,40.749502,-73.972448,avenue_secondary,614.4140421980783,691.8531959184065,271.59097223994604,234.4306344988094,2,Northbound/Southbound,True,False,42.62936959987903,False,False,True,2.7873577396104965,n00057,True
2nd_avenue_032,2nd Avenue,2nd_avenue,2nd_avenue#0,617.8436416696301,40.749659,-73.972331,avenue_secondary,634.3765393724663,692.0693909522702,291.62751390026693,234.61519475904225,2,Northbound/Southbound,True,False,23.130660467486756,False,False,True,2.7539247377975835,n00056,True
2nd_avenue_033,2nd Avenue,2nd_avenue,2nd_avenue#0,637.7533086112267,40.749815,-73.972213,avenue_secondary,654.2832421058729,692.4129371778114,311.60784900836677,234.92741506465347,2,Northbound/Southbound,True,False,6.958667085920608,False,False,True,2.774645633835351,n00055,True
2nd_avenue_034,2nd Avenue,2nd_avenue,2nd_avenue#0,657.6341523524671,40.749972,-73.972098,avenue_secondary,674.1639672359025,692.4816115386063,331.5625504270908,234.9643316207426,2,Northbound/Southbound,True,False,18.900032825326786,False,False,True,2.8234990972064664,n00054,True
3rd_avenue_001,3rd Avenue,3rd_avenue,3rd_avenue#0,0.0,40.745606,-73.978227,avenue_secondary,1.4666394908203415,474.38218576315194,-343.2919199887736,17.567755534146784,2,Northbound/Southbound,True,False,17.71973697504192,False,False,True,0.16364329602311284,n00076,True
3rd_avenue_002,3rd Avenue,3rd_avenue,3rd_avenue#0,19.86764852824354,40.745762,-73.97811,avenue_secondary,21.332456202338335,474.651971652683,-323.35250500118144,17.806153988210696,2,Northbound/Southbound,True,False,6.934893801094192,False,False,True,0.11156187996686806,n00077,True
3rd_avenue_003,3rd Avenue,3rd_avenue,3rd_avenue#0,39.76372286205884,40.74592,-73.977997,avenue_secondary,41.22808975077379,474.5195344861709,-303.3825171514342,17.641588647756677,2,Northbound/Southbound,True,False,24.03887722768952,False,False,True,0.06703507574318582,n00078,True
3rd_avenue_004,3rd Avenue,3rd_avenue,3rd_avenue#0,59.741134149088964,40.746078,-73.977882,avenue_secondary,61.20549534356758,474.53461799272736,-283.33068906009,17.624667011446405,2,Northbound/Southbound,True,False,41.14234318307157,False,False,True,0.11563939440994489,n00079,True
3rd_avenue_005,3rd Avenue,3rd_avenue,3rd_avenue#0,79.6777400682466,40.746236,-73.977768,avenue_secondary,81.14201491457868,474.47594116184473,-263.3197810891449,17.53392352215718,2,Northbound/Southbound,True,False,21.206275107545213,False,False,True,0.12985682004934107,n00080,True
