tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council_district,census_tract,bin,bbl
372296,105748,2015-10-24T00:00:00.000,5,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,TreesCount Staff,MetalGrates,No,Yes,No,No,No,No,No,No,No,824 2 AVENUE,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.7513455,-73.97093687,992302.4416,213013.4297,4,90,1076275,1013370001
372298,105748,2015-10-24T00:00:00.000,2,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Unsure,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,840 2 AVENUE,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75153332,-73.97080027,992340.2663,213081.8731,4,90,1038763,1013370050
387070,105758,2015-10-27T00:00:00.000,9,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,Harmful,NoDamage,TreesCount Staff,MetalGrates,No,Yes,No,No,No,No,No,No,No,244 EAST 44 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75136907,-73.97173125,992082.3432,213021.9457,4,88,1084824,1013170020
372027,105778,2015-10-24T00:00:00.000,7,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,Harmful,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,447 LEXINGTON AVENUE,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009200,New York,40.75293842,-73.9748348,991222.2872,213593.4485,4,92,1036184,1012997501
386308,105762,2015-10-27T00:00:00.000,11,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,333 EAST 46 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75193991,-73.96919271,992785.6164,213230.1589,4,90,1038901,1013390012
386710,105793,2015-10-27T00:00:00.000,10,0,OnCurb,Alive,Good,Quercus acutissima,sawtooth oak,1or2,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,225 EAST 47 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75350848,-73.97098726,992288.2208,213801.4711,4,90,1037987,1013210011
386443,105753,2015-10-27T00:00:00.000,21,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,801 1 AVENUE,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75094741,-73.96842014,992999.7984,212868.636,4,90,1038774,1013380023
386711,105793,2015-10-27T00:00:00.000,11,0,OnCurb,Alive,Good,Quercus acutissima,sawtooth oak,1or2,Harmful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,225 EAST 47 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75355175,-73.97109025,992259.6805,213817.2246,4,90,1037987,1013210011
372006,105777,2015-10-24T00:00:00.000,8,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,3or4,Harmful,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,141 EAST 44 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009200,New York,40.75262856,-73.97470995,991256.9105,213480.5662,4,92,1036175,1012990023
372004,105777,2015-10-24T00:00:00.000,8,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,Volunteer,"MetalGrates,BranchLights,BranchOther",No,Yes,No,No,No,No,Yes,No,Yes,147 EAST 44 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009200,New York,40.7525343,-73.97448731,991318.6066,213446.2447,4,92,1036176,1012990027
371960,105780,2015-10-24T00:00:00.000,8,0,OnCurb,Alive,Poor,Tilia americana,American linden,1or2,Harmful,NoDamage,Volunteer,"Stones,WiresRope,BranchOther",Yes,No,No,Yes,No,No,No,No,Yes,712 3 AVENUE,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009200,New York,40.75249853,-73.97333374,991638.2208,213433.3058,4,92,1036179,1012990038
372003,105777,2015-10-24T00:00:00.000,6,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,Volunteer,MetalGrates,No,Yes,No,No,No,No,No,No,No,147 EAST 44 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009200,New York,40.75248651,-73.97437441,991349.8916,213428.8409,4,92,1036176,1012990027
372129,105771,2015-10-24T00:00:00.000,8,0,OnCurb,Alive,Good,Quercus palustris,pin oak,3or4,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,222 EAST 46 STREET,10017,New York,106,1,Manhattan,4,73,27,MN19,Turtle Bay-East Midtown,1009000,New York,40.75283178,-73.9715962,992119.5866,213554.8725,4,90,1037595,1013190039
371936,105779,2015-10-24T00:00:00.000,13,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Harmful,NoDamage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,162 EAST 45 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009200,New York,40.7527677,-73.97339586,991620.9803,213531.3699,4,92,1036180,1012990040
387439,105824,2015-10-27T00:00:00.000,7,0,OnCurb,Alive,Good,Quercus robur,English oak,1or2,Harmful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,220 EAST 49 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75477523,-73.97036359,992460.8563,214263.0466,4,90,1038028,1013220041
387438,105824,2015-10-27T00:00:00.000,11,0,OnCurb,Alive,Good,Quercus palustris,pin oak,3or4,Harmful,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,222 EAST 49 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.7547489,-73.97030107,992478.1801,214253.459,4,90,1038027,1013220040
372446,105790,2015-10-24T00:00:00.000,10,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,1or2,Harmful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,236 EAST 47 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75328567,-73.97071657,992363.2443,213720.3197,4,90,1037604,1013207505
372112,105741,2015-10-24T00:00:00.000,6,0,OnCurb,Alive,Good,Quercus phellos,willow oak,3or4,Harmful,NoDamage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,685 3 AVENUE,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008800,New York,40.75184204,-73.97313462,991693.4628,213194.1435,4,88,1037555,1013170001
372135,105742,2015-10-24T00:00:00.000,10,0,OnCurb,Alive,Good,Quercus phellos,willow oak,1or2,Helpful,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,817 2 AVENUE,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008800,New York,40.75090182,-73.97156361,992128.8458,212851.7279,4,88,1037562,1013170026
372113,105741,2015-10-24T00:00:00.000,3,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,3or4,None,NoDamage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,210 EAST 44 STREET,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008800,New York,40.75181742,-73.97307581,991709.76,213185.1787,4,88,1037556,1013170007
372115,105741,2015-10-24T00:00:00.000,4,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,1or2,None,NoDamage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,244 EAST 44 STREET,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008800,New York,40.75129259,-73.97182215,992057.1668,212994.0747,4,88,1084824,1013170020
372005,105777,2015-10-24T00:00:00.000,7,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,3or4,Harmful,NoDamage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,141 EAST 44 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009200,New York,40.75259491,-73.97463048,991278.9325,213468.3152,4,92,1036175,1012990023
386385,105791,2015-10-27T00:00:00.000,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,871 2 AVENUE,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75276181,-73.97020741,992504.3755,213529.508,4,90,1037607,1013207501
386383,105791,2015-10-27T00:00:00.000,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,866 2 AVENUE,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75265021,-73.97028809,992482.0357,213488.8405,4,90,1038896,1013397501
386382,105791,2015-10-27T00:00:00.000,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,866 2 AVENUE,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75259393,-73.97032878,992470.7696,213468.331,4,90,1038896,1013397501
387405,105760,2015-10-27T00:00:00.000,11,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,Helpful,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,201 EAST 45 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75253069,-73.97280942,991783.4859,213445.0689,4,90,1037582,1013190001
387430,105824,2015-10-27T00:00:00.000,18,0,OnCurb,Alive,Fair,Pyrus calleryana,Callery pear,1or2,Harmful,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,246 EAST 49 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75444355,-73.96957613,992679.0665,214142.2794,4,90,1038019,1013220031
198341,105514,2015-09-02T00:00:00.000,2,0,OnCurb,Alive,Poor,Carpinus caroliniana,American hornbeam,1or2,Unsure,NoDamage,Volunteer,"TrunkOther,BranchOther",No,No,No,No,No,Yes,No,No,Yes,446 3 AVENUE,10016,New York,106,1,Manhattan,2,75,28,MN20,Murray Hill-Kips Bay,1007200,New York,40.74400213,-73.97980192,989846.8448,210337.3159,2,72,1018325,1008860051
221885,106071,2015-09-13T00:00:00.000,3,0,OnCurb,Alive,Good,Carpinus caroliniana,American hornbeam,1or2,Harmful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,222 EAST 35 STREET,10016,New York,106,1,Manhattan,2,73,28,MN20,Murray Hill-Kips Bay,1007800,New York,40.74589928,-73.97664189,990722.2971,211028.726,2,78,1020165,1009150046
372114,105741,2015-10-24T00:00:00.000,8,0,OnCurb,Alive,Good,Quercus phellos,willow oak,1or2,Harmful,NoDamage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,210 EAST 44 STREET,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008800,New York,40.75179346,-73.97301858,991725.6186,213176.4549,4,88,1037556,1013170007
372136,105742,2015-10-24T00:00:00.000,11,0,OnCurb,Alive,Good,Quercus phellos,willow oak,1or2,Helpful,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,815 2 AVENUE,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008800,New York,40.75080515,-73.97163504,992109.0653,212816.5016,4,88,1037561,1013170021
372137,105742,2015-10-24T00:00:00.000,13,0,OnCurb,Alive,Good,Quercus phellos,willow oak,1or2,Harmful,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,815 2 AVENUE,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008800,New York,40.75070896,-73.97170612,992089.3833,212781.4492,4,88,1037561,1013170021
372442,105790,2015-10-24T00:00:00.000,4,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,3or4,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,216 EAST 47 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.7534664,-73.97114731,992243.8816,213786.1246,4,90,1037840,1013207502
372445,105790,2015-10-24T00:00:00.000,7,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,3or4,Harmful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,224 EAST 47 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75331617,-73.97078925,992343.1022,213731.424,4,90,1037605,1013200034
372077,105768,2015-10-24T00:00:00.000,6,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,1or2,Harmful,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,690 3 AVENUE,10017,New York,106,1,Manhattan,4,73,27,MN19,Turtle Bay-East Midtown,1009200,New York,40.75175641,-73.97387599,991488.0623,213162.8831,4,92,1036165,1012980036
371911,105891,2015-10-24T00:00:00.000,13,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,Damage,Volunteer,"Stones,TrunkOther",Yes,No,No,No,No,Yes,No,No,No,987 2 AVENUE,10022,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009800,New York,40.7563197,-73.96761727,993221.525,214826.015,4,98,1038530,1013260022
386384,105791,2015-10-27T00:00:00.000,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,871 2 AVENUE,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75270505,-73.97024845,992493.013,213508.8237,4,90,1037607,1013207501
