the_geom,boro_code,boro_name,boro_cd,coun_dist,assem_dist,st_sen_dist,cong_dist,shelter_id,corner,on_street,cross_stre,longitude,latitude,ntaname,femafldz,femafld_t,hrc_evac
"{'type': 'Point', 'coordinates': [-73.97698, 40.7558]}",1,Manhattan,105,4,73,28,12,MN01811,SE,Madison Av,E 47 St,-73.97698,40.7558,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.98206, 40.75208]}",1,Manhattan,105,4,75,28,12,MN01875,SW,5 Av,W 40 St,-73.98206,40.75208,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.973989, 40.747613]}",1,Manhattan,106,4,73,59,12,MN0194,SW,2 AV,E 39 ST,-73.973989,40.747613,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,6
"{'type': 'Point', 'coordinates': [-73.980403, 40.751106]}",1,Manhattan,106,4,73,28,12,MN0195,NE,MADISON AV,E 39 ST,-73.980403,40.751106,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.981816, 40.747359]}",1,Manhattan,106,4,73,28,12,MN0203,NW,E 34 ST,PARK AV,-73.981816,40.747359,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.983142, 40.755954]}",1,Manhattan,105,4,75,28,12,MN0220,SE,6 AV,W 44 ST,-73.983142,40.755954,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.98537, 40.747525]}",1,Manhattan,105,4,75,28,12,MN0703A,SW,5 AV,W 33 ST,-73.98537,40.747525,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.980932, 40.746796]}",1,Manhattan,105,4,73,59,12,MN0744,SE,E 34 ST,PARK AV,-73.980932,40.746796,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.970387, 40.752536]}",1,Manhattan,106,4,73,28,12,MN9011,NW,2 AV,E 46 ST,-73.970387,40.752536,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.9832, 40.747275]}",1,Manhattan,105,4,73,28,12,MNBX041,NE,MADISON AV,E 33 ST,-73.9832,40.747275,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.986306, 40.743004]}",1,Manhattan,105,2,74,28,12,MNBX411,NE,MADISON AV,E 26 ST,-73.986306,40.743004,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,X
