node_id,status,pano_id,pano_date,pano_lat,pano_lon,node_lat,node_lon,month,year,pano_offset_m,usable,typology,osm_name,northing_m
n00048,OK,APy9rO2Xo6thve3FjH0gIA,2026-04,40.74505669936984,-73.97569367929049,40.745092,-73.975667,4,2026,4.520167848094186,True,avenue_secondary,2nd Avenue,56.44109810160069
n00049,OK,QBPvoGWNoTk0-DRP0LvcSQ,2026-04,40.74521588480113,-73.97557611196723,40.74524900000001,-73.975551,4,2026,4.2438802741859165,True,avenue_secondary,2nd Avenue,76.36270925478698
n00050,OK,mm3YOyP84Cmi_jqsFF8otA,2026-04,40.74539234497294,-73.97544482388749,40.745406,-73.975435,4,2026,1.7279968050558496,True,avenue_secondary,2nd Avenue,96.28432040601831
n00051,OK,COilykflfao--d0m9ZedHA,2026-04,40.74555881789599,-73.97531488088427,40.745563,-73.975319,4,2026,0.5800913049803502,True,avenue_secondary,2nd Avenue,116.20593155783064
n00052,OK,6poXc6RO5VASJUmW2yAwOA,2026-04,40.74571676870152,-73.97520986822059,40.74572,-73.975204,4,2026,0.6116909811323402,True,avenue_secondary,2nd Avenue,136.08665668786034
n00053,OK,oRzUZ6kIbN5v6AzFjEnVVg,2026-04,40.74588137571777,-73.97509705352745,40.74587799999999,-73.975088,4,2026,0.8513241410714932,True,avenue_secondary,2nd Avenue,156.10494830185584
n00054,OK,mFI0uKD0zgLqVWCUgOeing,2026-04,40.74605318239141,-73.97497814067115,40.746035,-73.974972,4,2026,2.084036479473007,True,avenue_secondary,2nd Avenue,176.0265594550421
n00055,OK,grbwn57CzUA_SrD1jcUR-A,2026-04,40.74621343473454,-73.97486227679178,40.746192,-73.974856,4,2026,2.4378725830069206,True,avenue_secondary,2nd Avenue,195.94817060696045
n00056,OK,3PpVHae-s8auolIu7BUN9w,2026-04,40.74637413622185,-73.97473206436112,40.746349,-73.974741,4,2026,2.890681399221497,True,avenue_secondary,2nd Avenue,215.8288957368842
n00057,OK,Fr0fcpTZ08qiPeyAyT6RvA,2026-04,40.74652097770605,-73.97464068244429,40.746507,-73.974626,4,2026,1.9861027583876691,True,avenue_secondary,2nd Avenue,235.80630132978388
n00058,OK,rsVMKdjYxX-72xbIejLvyQ,2026-04,40.74667963119792,-73.97445253779192,40.746664,-73.974511,4,2026,5.232139241517372,True,avenue_secondary,2nd Avenue,255.68702645981358
n00059,OK,ddvYIqw-caJqaiq_uehpaA,2026-04,40.74683795112838,-73.9743915566449,40.746822,-73.974397,4,2026,1.8294788489703975,True,avenue_secondary,2nd Avenue,275.6235460300318
n00060,OK,fI0Eb40EVgd8rgvk39-BQQ,2026-04,40.74698840290307,-73.97427730662041,40.74697999999999,-73.974283,4,2026,1.049413650778523,True,avenue_secondary,2nd Avenue,295.56006560035587
n00061,OK,3_111niLyQKOOOz6XwwYkQ,2026-04,40.74715627497615,-73.97415355063035,40.74713800000001,-73.974168,4,2026,2.3673411648922187,True,avenue_secondary,2nd Avenue,315.53747119394257
n00062,OK,m5w_WVSv_-TBdGhQHXT6fQ,2026-04,40.74732097669725,-73.9740345475127,40.74729599999999,-73.974054,4,2026,3.222686154136891,True,avenue_secondary,2nd Avenue,335.4739907634738
n00063,OK,F3H7tH-jgB15cam2awwb7Q,2026-04,40.74747953299718,-73.97392164245211,40.74745300000001,-73.97394,4,2026,3.328446298588071,True,avenue_secondary,2nd Avenue,355.3138298729887
n00064,OK,zX7pkZxowUCkRwZZ0GBqaw,2026-04,40.74763882451801,-73.97380595729354,40.74761099999999,-73.973826,4,2026,3.5220781314115652,True,avenue_secondary,2nd Avenue,375.25034944193897
n00065,OK,CJPF6dR9rqWQicakS26sEw,2026-04,40.74780080059988,-73.97368847849543,40.747769,-73.973712,4,2026,4.05056730538683,True,avenue_secondary,2nd Avenue,395.18686901295
n00066,OK,fKjZXKYCSzwSdxYr07GU4w,2026-04,40.74789348181063,-73.97362130928782,40.747927,-73.973597,4,2026,4.2495118006428205,True,avenue_secondary,2nd Avenue,415.1642746057438
n00067,OK,dApUMUTGGwaYzW7_t8jB9g,2026-04,40.74805210475641,-73.9735051755558,40.748085,-73.973483,4,2026,4.103831242521767,True,avenue_secondary,2nd Avenue,435.1007941767549
n00068,OK,7vcZV02P3a7LEog8fTHw5g,2026-04,40.74821320946748,-73.97338635139451,40.748243,-73.973369,4,2026,3.617127504864228,True,avenue_secondary,2nd Avenue,455.037313747079
n00069,OK,Y4IGkaDOkxrHskcVK8afsg,2026-04,40.74836905663118,-73.97327138334374,40.7484,-73.973255,4,2026,3.703204115155134,True,avenue_secondary,2nd Avenue,474.8771528551141
n00070,OK,NmzFmsHjQOKo9PC4Bboofg,2026-04,40.74856274549181,-73.97313040838588,40.748558,-73.97314,4,2026,0.9660843885751054,True,avenue_secondary,2nd Avenue,494.85455844732684
n00071,OK,GpkQvkUs4UNoxhu6eP6fBg,2026-04,40.74872207888609,-73.97301929637113,40.748716,-73.973026,4,2026,0.8807635851599045,True,avenue_secondary,2nd Avenue,514.7910780183379
n00072,OK,MM0qtzN6nSAc8YwU2gSw6A,2026-04,40.74888018432669,-73.97290379002793,40.748874,-73.972912,4,2026,0.9756076847649956,True,avenue_secondary,2nd Avenue,534.727597589243
n00073,OK,KbuWA4GZkLpI0t9kB0869w,2026-04,40.74904472541682,-73.97278370999052,40.749032,-73.972798,4,2026,1.8577737196384985,True,avenue_secondary,2nd Avenue,554.6641171595672
n00074,OK,OliAiaLn8bm1lGeT4bXuGg,2026-04,40.74920963414628,-73.97266569249466,40.749189,-73.972682,4,2026,2.6726156004127626,True,avenue_secondary,2nd Avenue,574.5857283107986
n00075,OK,CwJueWQ6lVqwdMicP4meEg,2026-04,40.74937761272185,-73.97254381872807,40.749345,-73.972565,4,2026,4.038061047892341,True,avenue_secondary,2nd Avenue,594.4515450230034
n00076,OK,zYrXx1gRYxArSxe5AXfrXg,2026-04,40.74954449589767,-73.97242113777253,40.749502,-73.972448,4,2026,5.234486347433484,True,avenue_secondary,2nd Avenue,614.4140421973914
n00077,OK,laBJSJKjDXQAUF8Xsr_EPg,2026-04,40.74962374495174,-73.97236185988515,40.74965900000001,-73.972331,4,2026,4.7017266046994965,True,avenue_secondary,2nd Avenue,634.3765393724664
n00078,OK,2ZEhBd_jQ8-9ee6Y9E_-oA,2026-04,40.74978432881142,-73.97224366277233,40.749815,-73.972213,4,2026,4.2773118526749,True,avenue_secondary,2nd Avenue,654.283242105186
n00079,OK,Iur9Kh4W8fims5RMYmCXBA,2026-04,40.74994151442514,-73.97212914243521,40.749972,-73.972098,4,2026,4.285647601802573,True,avenue_secondary,2nd Avenue,674.1639672352156
n00080,OK,JRfca0prQB4nWzxEy4qpaA,2026-04,40.7456367475427,-73.97819252840051,40.745606,-73.978227,4,2026,4.485811974965133,True,avenue_secondary,3rd Avenue,1.4666394901334456
n00081,OK,6_7H4KCQWq3DszNdqDrYXg,2026-04,40.74579812484885,-73.97807657678077,40.745762,-73.97811,4,2026,4.903751622981974,True,avenue_secondary,3rd Avenue,21.33245620165144
n00082,OK,yhrglYYmj1T2h-8CMAbqyw,2026-04,40.74596686357236,-73.97795354064685,40.745920000000005,-73.977997,4,2026,6.366357612836058,True,avenue_secondary,3rd Avenue,41.22808975077379
n00083,OK,nzTmlTgRO64BVHxxmVklew,2026-04,40.74604834648191,-73.97789399543424,40.746078,-73.977882,4,2026,3.4442506343338866,True,avenue_secondary,3rd Avenue,61.20549534288068
n00084,OK,XPyvOyT-HAMMLXB6LMC_IA,2026-04,40.7462239341864,-73.97776557858768,40.74623599999999,-73.977768,4,2026,1.3549954355649991,True,avenue_secondary,3rd Avenue,81.14201491251788
n00085,OK,EFOoQq4kAVLIloLqGIKVqA,2026-04,40.7463859079319,-73.97764747447083,40.746393,-73.97765300000002,4,2026,0.9151639621036001,True,avenue_secondary,3rd Avenue,101.02274004265345
n00086,OK,jSbQro0Qcyqmn8v_1-J48Q,2026-04,40.74655098050566,-73.97752730771714,40.74655,-73.977536,4,2026,0.7419231372280347,True,avenue_secondary,3rd Avenue,120.98523721762245
n00087,OK,tkrp7HNl8Z9sTan-0tklyg,2026-04,40.74671383095578,-73.97740848603986,40.746706,-73.977418,4,2026,1.1836432709213283,True,avenue_secondary,3rd Avenue,140.89193995171595
n00088,OK,R2dnkktQ-xmwjd_iwwuDFg,2026-04,40.74687627929379,-73.97729002299643,40.746863,-73.9773,4,2026,1.6978901301587666,True,avenue_secondary,3rd Avenue,160.89532314730562
n00089,OK,yhc7dIFm5sN_a44yGen3jA,2026-04,40.74703907381765,-73.97717559533942,40.747019,-73.977182,4,2026,2.293158653831166,True,avenue_secondary,3rd Avenue,180.8020258807122
n00090,OK,ItA7OVlHwQzBIMKRKSmVig,2026-04,40.74719301941688,-73.97706627919912,40.747179,-73.977073,4,2026,1.6565773552232002,True,avenue_secondary,3rd Avenue,200.72747626675218
n00091,OK,dEhrHGTmoYZQu1KrQWjRBg,2026-04,40.74736523015302,-73.97694225597209,40.74733899999999,-73.976964,4,2026,3.442335605484867,True,avenue_secondary,3rd Avenue,220.65292665131233
n00092,OK,V7N3uRpR31__-TQYucU7rw,2026-04,40.74745790370435,-73.97687553628542,40.747499,-73.976855,4,2026,4.880661092119073,True,avenue_secondary,3rd Avenue,240.5783770373523
n00093,OK,3dpr9Xaw3kYy7tr8z0PkcA,2026-04,40.74767603956982,-73.97671393823875,40.747659000000006,-73.976746,4,2026,3.3024071697194195,True,avenue_secondary,3rd Avenue,260.5038274233923
n00094,OK,U5KkQUrcc97LG9G9Old-Gw,2026-04,40.74783590469634,-73.97659377090181,40.747817000000005,-73.976632,4,2026,3.8499661319653558,True,avenue_secondary,3rd Avenue,280.44034699429744
n00095,OK,oYiGY4tDiLuH_cmZXoAC0A,2026-04,40.74800687870117,-73.97646849188928,40.74797399999999,-73.976517,4,2026,5.485949371223645,True,avenue_secondary,3rd Avenue,300.3210721229532
n00096,OK,_gNjEhXGivKelsDFUlqttA,2026-04,40.74809090124067,-73.97640562815933,40.74813100000001,-73.976401,4,2026,4.468673625871912,True,avenue_secondary,3rd Avenue,320.2426832768264
n00097,OK,nRd2-eKVFM6YWFa6Kt6icQ,2026-04,40.74824975248353,-73.97628841998032,40.74828899999999,-73.976287,4,2026,4.358705604758854,True,avenue_secondary,3rd Avenue,340.1792028457767
n00098,OK,tgNS8Vjtznfh-_ChcUzI6Q,2026-04,40.7484129433282,-73.97617417108215,40.748447000000006,-73.976172,4,2026,3.7852367517935335,True,avenue_secondary,3rd Avenue,360.1566084393633
n00099,OK,B5xr9zXhZocS4Mm2YqBrPA,2026-04,40.74857252463644,-73.97605839760044,40.748604,-73.976057,4,2026,3.4962243578922987,True,avenue_secondary,3rd Avenue,380.03733356928706
n00100,OK,rsTHepaS6uRTsgh34LEYdg,2026-04,40.74872822656317,-73.97594450727547,40.748761,-73.975942,4,2026,3.6444910232171743,True,avenue_secondary,3rd Avenue,399.9180586993167
n00101,OK,USvMY0697K7CAqFa8nIrfQ,2026-04,40.74889457143499,-73.97581851042007,40.74891900000001,-73.975827,4,2026,2.805052970683586,True,avenue_secondary,3rd Avenue,419.89546429279744
n00102,OK,wtzX87DyyTrvvHyStzaIlQ,2026-04,40.74906195060399,-73.97569502445396,40.74907699999999,-73.975713,4,2026,2.2570910352800033,True,avenue_secondary,3rd Avenue,439.8319838617477
n00103,OK,aUaP0EBG3n31LfiVcCfPBA,2026-04,40.74922169049561,-73.9755782642301,40.74923499999999,-73.975598,4,2026,2.2269951772375323,True,avenue_secondary,3rd Avenue,459.8093894539604
n00104,OK,4994o0_LX4D4dFeFhrnMGQ,2026-04,40.7494016203147,-73.97544868002771,40.74939200000001,-73.975484,4,2026,3.1674452515048075,True,avenue_secondary,3rd Avenue,479.64922856405644
n00105,OK,IUEioSnyRBDJt51SrKPrcw,2026-04,40.74956621079019,-73.97533317514262,40.749549,-73.975367,4,2026,3.4359521910221043,True,avenue_secondary,3rd Avenue,499.61172573717636
n00106,OK,S1JbtInUw6Ie6xc3HaUBtg,2026-04,40.74973426843121,-73.97521130306524,40.749706,-73.975252,4,2026,4.653369546481992,True,avenue_secondary,3rd Avenue,519.492450867787
n00107,OK,L7zD7sFzsKBVLOMftsrb3A,2026-04,40.74989714286517,-73.97509274899093,40.749864,-73.975137,4,2026,5.24356616068916,True,avenue_secondary,3rd Avenue,539.469856459313
n00108,OK,puz41qsd5_0Yz6AAVao2VQ,2026-04,40.74997865519183,-73.9750334719264,40.750021,-73.975022,4,2026,4.799641228947373,True,avenue_secondary,3rd Avenue,559.3505815899236
n00109,OK,7F-rf9k2_oLNBG6pwM0Q8w,2026-04,40.7501400357055,-73.9749160835556,40.75018,-73.974909,4,2026,4.4767568847319685,True,avenue_secondary,3rd Avenue,579.3428956012291
n00110,OK,bVy0pzYRpSELV0LWhR2sBw,2026-04,40.75029812729137,-73.97480048867278,40.750337,-73.97479300000002,4,2026,4.361517306966366,True,avenue_secondary,3rd Avenue,599.2645067518795
n00111,OK,hrOfoWm-mzQuXyf-pbn5Bw,2026-04,40.75045722154409,-73.9746839969402,40.750494,-73.974677,4,2026,4.125468344119076,True,avenue_secondary,3rd Avenue,619.1861179056468
n00112,OK,DsxWGUWv7NFwiKDld4xSHA,2026-04,40.75061285276131,-73.97457019547977,40.750651,-73.974562,4,2026,4.29106268646334,True,avenue_secondary,3rd Avenue,639.0668430349895
n00113,OK,3TQKJ0m1QhUjczhyHgO25Q,2026-04,40.75077492059101,-73.97445235843563,40.75080899999998,-73.974447,4,2026,3.810273751211531,True,avenue_secondary,3rd Avenue,659.0442486264094
n00114,OK,8dcsoYSWNfJdgZH9R94U3A,2026-04,40.74688062774294,-73.98140040580847,40.74692000000001,-73.98137,4,2026,5.069033727392525,True,avenue_canyon,Park Avenue,0.0
